,bls_occupation,wd_occupation,Unnamed: 0,n,p_women,p_black,p_asian,p_hispanic,aggregate,y.n,conjunction,search_term,uncertain_search_term,multiple_search_terms
0,Aircraft pilots and flight engineers,"astronaut, aviator, navigator",500,129000,4.1,2.7,2.5,5.0,False,True,False,pilot,False,False
1,Bartenders,"bartender, sommelier,  oenologist",227,412000,59.9,5.2,3.5,13.2,False,True,False,bartender,False,False
2,Bill and account collectors,treasurer,284,206000,69.1,15.3,3.6,17.6,False,True,False,bill collector,False,False
3,Biological scientists,"agronomist, horticulturist, forester, ecologist",96,101000,50.1,3.7,11.7,7.2,False,True,False,biologist,False,False
4,Chemists and materials scientists,"chemist, metallurgist",102,105000,44.2,4.0,9.2,9.4,False,True,False,chemist,False,False
5,Chief executives,"president and chief executive officer, hotel manager, manager, manager (professional wrestling), businessperson, talent manager, business manager",0,1513000,27.4,3.7,4.2,4.7,False,True,False,chief executive officer,False,False
6,Clergy,"Rosh yeshiva, religious servant, saint, clergy, muhaddith, pasha, qadi, hermit",123,408000,20.5,11.2,4.2,6.1,False,True,False,clergy member,False,False
7,Clinical laboratory technologists and technicians,"nutritionist, food chemist,",184,319000,72.8,13.5,14.0,10.7,False,True,False,lab tech,False,False
8,Computer programmers,"hacker, computer scientist",61,480000,22.5,5.9,17.3,5.3,False,True,False,computer programmer,False,False
9,Construction laborers,construction worker,347,1387000,2.9,8.4,2.0,41.2,False,True,False,construction worker,False,False
10,Cooks,"cook, baker, beekeeper,  brewer, butcher, fisherman, hunter, pastry chef",225,1970000,37.7,16.6,6.0,31.7,False,True,False,cook,False,False
11,Designers,"urban planner, game designer ",143,756000,55.3,3.9,5.9,8.9,False,True,False,designer,False,False
12,Detectives and criminal investigators,detective,212,160000,24.8,9.8,3.5,10.4,False,True,False,detective,False,False
13,Driver/sales workers and truck drivers,"co-driver, driver, salesperson",505,3201000,5.4,14.0,1.6,19.3,False,True,False,truck driver,False,False
14,Electricians,"technics, electrician",352,692000,1.8,6.0,2.3,14.8,False,True,False,electrician,False,False
15,Elementary and middle school teachers,schoolmaster,133,2838000,81.4,9.8,2.1,10.3,False,True,False,primary school teacher,False,False
16,"Engineers, all other","business engineering, engineer",91,359000,13.2,3.9,15.4,5.9,False,True,False,engineer,False,False
17,Financial analysts,financial analyst,50,89000,36.8,3.7,9.0,6.3,False,True,False,Financial analyst,False,False
18,Firefighters,firefighter,209,295000,3.4,7.7,1.1,9.9,False,True,False,firefighter,False,False
19,Flight attendants,flight attendant,502,88000,77.6,11.8,5.9,10.5,False,True,False,flight attendant,False,False
20,Fundraisers,lobbyist,43,86000,75.3,5.1,4.6,3.4,False,True,False,fundraiser,False,False
21,"Hairdressers, hairstylists, and cosmetologists","hairdresser, salon-holder, make-up artist, wardrobe stylist, perfumer",253,785000,92.8,13.2,6.5,15.0,False,True,False,hairdresser,False,False
22,Lawyers,"jurist, legislator",126,1061000,31.1,4.4,4.3,4.0,False,True,False,lawyer,False,False
23,Librarians,"
librarian, law librarian, bibliophile",138,181000,86.8,7.9,2.5,2.8,False,True,False,librarian,False,False
24,Logisticians,"mathematician, philosopher, physicist, naturalist, academic",40,94000,36.8,12.3,2.2,11.9,False,True,False,logistician,False,False
25,Machinists,"locksmith, Tool and die maker, , machinist",439,397000,3.8,4.5,4.9,11.7,False,True,False,machinist,False,False
26,Maids and housekeeping cleaners,"domestic worker, housewife",239,1457000,88.1,17.2,4.8,43.3,False,True,False,housekeeper,False,False
27,Personal financial advisors,accountant,51,378000,31.2,4.8,6.2,4.5,False,True,False,financial advisor,False,False
28,Photographers,"film crew member, film maker, filmmaker",158,178000,52.2,6.2,4.3,10.7,False,True,False,photographer,False,False
29,Physicians and surgeons,"health care provider, health professional",166,911000,34.3,7.2,18.1,5.2,False,True,False,doctor,False,False
30,Police and sheriff’s patrol officers,"executioner, park ranger, law enforcement officer, torturer",215,657000,12.6,12.8,3.1,13.8,False,True,False,police officer,False,False
31,Psychologists,intelligence analysist,107,178000,72.7,6.0,3.9,6.3,False,True,False,psychologist,False,False
32,Public relations specialists,"spokesperson, communicator",152,155000,58.2,7.3,5.8,8.0,False,True,False,PR person,False,False
33,Receptionists and information clerks,clerk,306,1237000,91.5,12.1,4.3,17.9,False,True,False,receptionist,False,False
34,Secretaries and administrative assistants,"secretary, lady-in-waiting",320,2904000,95.3,8.6,3.2,10.3,False,True,False,administrative assistant,False,False
35,Social workers,activist,119,734000,80.6,23.0,3.1,12.6,False,True,False,social worker,False,False
