,nan,transgender female,intersex,fa'afafine,transgender male,female animal,male animal,woman,genderqueer,female,male,kathoey
,245987.0,39.0,10.0,,13.0,1.0,8.0,1.0,7.0,174070.0,1037883.0,
Q1000,1.0,,,,,,,,,22.0,184.0,
Q1003703,,,,,,,,,,1.0,,
Q1005,,,,,,,,,,9.0,95.0,
Q1005289,,,,,,,,,,1.0,1.0,
Q1006,,,,,,,,,,1.0,90.0,
Q1007,,,,,,,,,,3.0,42.0,
Q1008,4.0,,,,,,,,,131.0,728.0,
Q1009,,,,,,,,,,28.0,384.0,
Q1011,,,,,,,,,,6.0,70.0,
Q1013,,,,,,,,,,2.0,21.0,
Q1014,,,,,,,,,,6.0,69.0,
Q1016,,,,,,,,,,8.0,123.0,
Q1019,,,,,,,,,,11.0,52.0,
Q1020,,,,,,,,,,3.0,46.0,
Q1025,,,,,,,,,,1.0,64.0,
Q1027,,,,,,,,,,10.0,28.0,
Q1028,2.0,,,,,,,,,56.0,582.0,
Q1029,,,,,,,,,,10.0,51.0,
Q1030,,,,,,,,,,6.0,56.0,
Q103122,,,,,,,,,,,1.0,
Q1032,,,,,,,,,,,78.0,
Q1033,1.0,,,,,,,,,162.0,1063.0,
Q1036,,,,,,,,,,12.0,89.0,
Q1037,,,,,,,,,,7.0,51.0,
Q1039,,,,,,,,,,3.0,9.0,
Q1041,1.0,,,,,,,,,36.0,424.0,
Q10416611,,,,,,,,,,,1.0,
Q1042,,,,,,,,,,2.0,43.0,
Q104285,,,,,,,,,,,1.0,
Q1044,,,,,,,,,,4.0,50.0,
Q1045,2.0,,,,,,,,,74.0,432.0,
Q1047264,,,,,,,,,,,2.0,
Q1049,,,,,,,,,,4.0,82.0,
Q1050,,,,,,,,,,5.0,18.0,
Q1054409,,,,,,,,,,,1.0,
Q1055,,,,,,,,,,,1.0,
Q106782,,,,,,,,,,,1.0,
Q1069905,,,,,,,,,,1.0,1.0,
Q10957559,,,,,,,,,,,3.0,
Q1098499,,,,,,,,,,,3.0,
Q1108445,,,,,,,,,,,1.0,
Q11169,,,,,,,,,,,3.0,
Q11225429,,,,,,,,,,,9.0,
Q1134180,,,,,,,,,,,1.0,
Q1137842,,,,,,,,,,,1.0,
Q114,,,,,,,,,,77.0,294.0,
Q1143126,,,,,,,,,,,1.0,
Q1147043,,,,,,,,,,,1.0,
Q115,1.0,,,,,,,,,40.0,165.0,
Q1154406,3.0,,,,,,,,,28.0,34.0,
Q1156248,,,,,,,,,,,2.0,
Q117,,,,,,,,,,24.0,414.0,
Q11703,,,,,,,,,,1.0,3.0,
Q11768,,,,,,,,,,51.0,226.0,
Q11772,,,,,,,,,,41.0,980.0,
Q1179,,,,,,,,,,,1.0,
Q1183,,1.0,,,,,,,,57.0,212.0,
Q1188046,,,,,,,,,,,2.0,
Q11917,,,,,,,,,,,1.0,
Q1206012,,,,,,,,,,,3.0,
Q1209822,,,,,,,,,,,2.0,
Q121842,,,,,,,,,,,1.0,
Q121932,,,,,,,,,,,1.0,
Q12223,,,,,,,,,,,2.0,
Q122443,,,,,,,,,,,2.0,
Q12297902,,,,,,,,,,,3.0,
Q1231,,,,,,,,,,12.0,39.0,
Q1231403,,,,,,,,,,,1.0,
Q1232887,,,,,,,,,,,1.0,
Q124216,,,,,,,,,,1.0,,
Q1246,,,,,,,,,,2.0,5.0,
Q12536,,,,,,,,,,,10.0,
Q12542,,,,,,,,,,,2.0,
Q12544,,,,,,,,,,39.0,495.0,
Q12548,,,,,,,,,,,60.0,
Q12557,1.0,,,,,,,,,,,
Q12560,3.0,,,,,,,,,59.0,273.0,
Q1281618,,,,,,,,,,1.0,,
Q1286741,,,,,,,,,,,1.0,
Q129286,,,,,,,,,,2.0,6.0,
Q130229,,,,,,,,,,,1.0,
Q130900,,,,,,,,,,2.0,6.0,
Q1309633,,,,,,,,,,,1.0,
Q131337,,,,,,,,,,,3.0,
Q131964,,,,,,,,,,,79.0,
Q1321,,,,,,,,,,,3.0,
Q132856,,,,,,,,,,,10.0,
Q133032,,,,,,,,,,1.0,,
Q1330631,,,,,,,,,,,1.0,
Q133356,1.0,,,,,,,,,6.0,41.0,
Q13378,,,,,,,,,,,1.0,
Q13415264,,,,,,,,,,,1.0,
Q13426199,,,,,,,,,,,1.0,
Q1348441,,,,,,,,,,,1.0,
Q13526919,,,,,,,,,,,1.0,
Q13533316,,,,,,,,,,,3.0,
Q13534153,,,,,,,,,,1.0,,
Q1361181,,,,,,,,,,,1.0,
Q13637349,,,,,,,,,,,1.0,
Q139319,,,,,,,,,,2.0,9.0,
Q139670,,,,,,,,,,,1.0,
Q1410,,,,,,,,,,,2.0,
Q14118,,,,,,,,,,3.0,1.0,
Q1412,,,,,,,,,,,1.0,
Q14122225,,,,,,,,,,,2.0,
Q142,10.0,4.0,1.0,,,1.0,1.0,,,13737.0,90183.0,
Q142417,,,,,,,,,,,1.0,
Q1433867,,,,,,,,,,,2.0,
Q1445,1.0,,,,,,,,,,2.0,
Q145,18.0,2.0,,,1.0,,,,,6157.0,29056.0,
Q146055,,,,,,,,,,,1.0,
Q14660,,,,,,,,,,2.0,3.0,
Q1471210,,,,,,,,,,,1.0,
Q14773,,,,,,,,,,,2.0,
Q148,1673.0,1.0,,,,,,,,667.0,1804.0,
Q148540,,,,,,,,,,1.0,9.0,
Q150,,,,,,,,,,1.0,13.0,
Q150058,,,,,,,,,,,2.0,
Q1508143,,,,,,,,,,1.0,3.0,
Q150981,,,,,,,,,,,7.0,
Q151227,,,,,,,,,,,1.0,
Q151624,,,,,,,,,,,65.0,
Q15180,888.0,,,,,,,,,3937.0,22746.0,
Q1524,,,,,,,,,,,1.0,
Q152750,,,,,,,,,,,1.0,
Q15296811,,,,,,,,,,,1.0,
Q153015,,,,,,,,,,,3.0,
Q153136,,,,,,,,,,,2.0,
Q153529,,,,,,,,,,,3.0,
Q153943,,,,,,,,,,,1.0,
Q154195,,,,,,,,,,,4.0,
Q154741,,,,,,,,,,,7.0,
Q154849,,,,,,,,,,2.0,1.0,
Q155,126.0,2.0,,,,,,,,4839.0,26985.0,
Q155019,,,,,,,,,,,1.0,
Q155570,,,,,,,,,,,1.0,
Q156038,,,,,,,,,,1.0,,
Q156199,,,,,,,,,,,1.0,
Q15643279,,,,,,,,,,,1.0,
Q156726,,,,,,,,,,1.0,,
Q157070,,,,,,,,,,1.0,3.0,
Q157109,,,,,,,,,,,2.0,
Q158445,,,,,,,,,,,2.0,
Q15878,,,,,,,,,,,2.0,
Q159,257.0,,,,,,,,,4656.0,19530.0,
Q159626,,,,,,,,,,,3.0,
Q159631,,,,,,,,,,,4.0,
Q159856,,,,,,,,,,,3.0,
Q16,20.0,,,,,,,,1.0,3462.0,20789.0,
Q161036,,,,,,,,,,,1.0,
Q161652,,,,,,,,,,,1.0,
Q161885,,,,,,,,,,1.0,31.0,
Q16250490,,,,,,,,,,1.0,,
Q1630289,,,,,,,,,,,1.0,
Q1633149,,,,,,,,,,,3.0,
Q164079,,,,,,,,,,,64.0,
Q16410,,,,,,,,,,1.0,4.0,
Q1649871,,,,,,,,,,,1.0,
Q165154,,,,,,,,,,,8.0,
Q165192,,,,,,,,,,,1.0,
Q16635,,,,,,,,,,,2.0,
Q16641,,,,1.0,,,,,,,43.0,
Q16671638,,,,,,,,,,,1.0,
Q1672477,,,,,,,,,,,1.0,
Q167420,,,,,,,,,,1.0,5.0,
Q168651,,,,,,,,,,,1.0,
Q168811,,,,,,,,,,,3.0,
Q16957,,,,,,,,,,985.0,4140.0,
Q17,1210.0,2.0,,,,,,,,2309.0,6950.0,
Q170072,,,,,,,,,,2.0,11.0,
Q17012,,,,,,,,,,,1.0,
Q170174,,,,,,,,,,,13.0,
Q170468,,,,,,,,,,,1.0,
Q17054,,,,,,,,,,1.0,,
Q170770,,,,,,,,,,,7.0,
Q171150,,,,,,,,,,,6.0,
Q17167,1.0,,,,,,,,,,7.0,
Q171740,,,,,,,,,,,1.0,
Q1718221,,,,,,,,,,,1.0,
Q172107,,,,,,,,,,3.0,36.0,
Q1723904,,,,,,,,,,1.0,,
Q17252,,,,,,,,,,,8.0,
Q172579,,,,,,,,,,3.0,30.0,
Q172640,,,,,,,,,,1.0,,
Q17278379,,,,,,,,,,,1.0,
Q173065,,,,,,,,,,,9.0,
Q173302,,,,,,,,,,1.0,,
Q173761,,,,,,,,,,1.0,2.0,
Q174193,,,,,,,,,,8.0,23.0,
Q174306,,,,,,,,,,,1.0,
Q1747689,,,,,,,,,,118.0,2086.0,
Q176,1.0,,,,,,,,,5.0,9.0,
Q1778994,,,,,,,,,,,1.0,
Q1794,,,,,,,,,,,1.0,
Q179876,,,,,,,,,,1.0,23.0,
Q180114,,,,,,,,,,,1.0,
Q1803779,,,,,,,,,,1.0,,
