,nan,transgender male,female,male
Q1004|,,,,3.0
Q101017|,,,,1.0
Q101333|,,,,3.0
Q101929|,,,,1.0
Q1020604|Q11417|,,,,1.0
Q1027879|,,,,1.0
Q1028964|,,,,1.0
Q102904|,,,,1.0
Q102904|Q47555|,,,,1.0
Q1033379|,,,,1.0
Q10379|,,,,1.0
Q10384|,,,,2.0
Q1044484|,,,,1.0
Q1046801|,,,,1.0
Q1047168|,,,,1.0
Q1049183|,,,,1.0
Q1049976|,,,,1.0
Q1050259|Q11990|,,,,1.0
Q1051088|,,,,1.0
Q105196|,,,,1.0
Q1057314|,,,,1.0
Q105985|,,,1.0,
Q1061635|,,,,1.0
Q1061896|,,,,1.0
Q10630822|,,,,2.0
Q1066582|Q615498|,,,1.0,
Q1069306|Q8180985|,,,,1.0
Q1071239|,,,,1.0
Q1071985|,,,,1.0
Q1071|,,,,1.0
Q1071|Q309|,,,,1.0
Q1073559|,,,,1.0
Q10737|,,,,1.0
Q107425|Q5043|,,,1.0,
Q107427|Q123006|,,,,1.0
Q1074539|,,,,1.0
Q1074953|,,,,1.0
Q1075388|,,,,1.0
Q1075827|Q47280|,,,,1.0
Q1075838|,,,,2.0
Q1078351|,,,1.0,1.0
Q10800557|,,,,1.0
Q108429|,,,1.0,
Q10866633|,,,1.0,
Q10872101|Q350979|Q222845|,,,,1.0
Q1089246|,,,,2.0
Q10943|,,,,2.0
Q1096013|,,,,1.0
Q10962|,,,,1.0
Q10968653|,,,,1.0
Q1097630|,,,1.0,
Q10978|,,,1.0,
Q11015|,,,,1.0
Q11016|,,,,1.0
Q11016|Q173285|Q4830453|,,,,1.0
Q11016|Q913709|Q7108|Q173285|,,,,1.0
Q11023|,,,,14.0
Q11030|,,,2.0,9.0
Q11030|Q482|,,,,1.0
Q11030|Q8242|,,,,1.0
Q11032|,,,1.0,
Q11034|,,,,1.0
Q11059|,,,1.0,
Q11063|,,,,2.0
Q1109432|,,,,1.0
Q11128145|,,,,1.0
Q1114448|,,,,4.0
Q11165|,,,,1.0
Q1117470|,,,,2.0
Q11190|,,,1.0,6.0
Q11206|,,,,1.0
Q11214|,,,,1.0
Q11216|,,,,5.0
Q11248882|,,,1.0,
Q1127717|,,,,2.0
Q11285118|Q8676|Q1279400|,,,1.0,
Q1130265|,,,,1.0
Q1131236|,,,,1.0
Q1133779|,,,,6.0
Q11351|,,,,3.0
Q11351|Q193430|Q2028068|Q5509478|Q2002373|,,,1.0,
Q11351|Q203989|,,,,1.0
Q11358|Q423123|,,,1.0,
Q1136807|,,,,1.0
Q11372|,,,1.0,7.0
Q1138780|,,,,4.0
Q1138951|,,,,1.0
Q11409|,,,,1.0
Q11420|Q2736|,,,1.0,
Q11424|,,,1.0,8.0
Q11424|Q3429919|,,,,1.0
Q11425|,,,1.0,3.0
Q1143847|,,,,1.0
Q1144457|Q2247122|Q589|,,,,1.0
Q11446451|,,,,1.0
Q11448|,,,1.0,
Q11451|,,,,1.0
Q11451|Q747713|,,,,1.0
Q11452|,,,,1.0
Q11452|Q234181|,,,,1.0
Q11453|,,,,1.0
Q11457|Q192296|,,,,1.0
Q11460|,,,,1.0
Q1146354|,,,1.0,2.0
Q1146354|Q182956|,,,,1.0
Q11467|,,,,1.0
Q11468|,,,,2.0
Q1152419|,,,,1.0
Q1153171|,,,,1.0
Q1153966|,,,,1.0
Q1154774|,,,,1.0
Q1160621|Q3972943|,,,,1.0
Q1160621|Q40634|Q558929|Q11030|,,,,1.0
Q1160621|Q4204726|Q1048240|,,,,1.0
Q11629|,,,1.0,1.0
