category,female,male,total,female/male ratio
Academic rank in France,7.0,7.0,14.0,1.0
Agent,4.0,10.0,14.0,0.4
Art forger,0.0,11.0,11.0,0.0
Chief Officer,62.0,635.0,697.0,0.0976377952756
"Corps of Bridges, Waters and Forests",1.0,15.0,16.0,0.0666666666667
Freelancer,4.0,8.0,12.0,0.5
Hofmeister,3.0,50.0,53.0,0.06
Praeses,1.0,11.0,12.0,0.0909090909091
Prince,1.0,22.0,23.0,0.0454545454545
Renaissance humanist,0.0,20.0,20.0,0.0
Rosh yeshiva,0.0,13.0,13.0,0.0
Sculptor,6.0,14.0,20.0,0.428571428571
Swimmer,9.0,2.0,11.0,4.5
Tonmeister,1.0,31.0,32.0,0.0322580645161
Tool and die maker,0.0,12.0,12.0,0.0
academic,8.0,37.0,45.0,0.216216216216
accountant,19.0,143.0,162.0,0.132867132867
action,20.0,119.0,139.0,0.168067226891
activist,1003.0,4097.0,5107.0,0.244813278008
administrator of the government,0.0,11.0,11.0,0.0
advisor,6.0,113.0,119.0,0.0530973451327
agronomist,11.0,225.0,236.0,0.0488888888889
amanuensis,1.0,14.0,15.0,0.0714285714286
antiquarian seller,3.0,84.0,87.0,0.0357142857143
archivist,80.0,1320.0,1400.0,0.0606060606061
art of painting,6.0,70.0,76.0,0.0857142857143
art of sculpture,1.0,16.0,17.0,0.0625
artisan,80.0,3080.0,3160.0,0.025974025974
assessor,0.0,116.0,116.0,0.0
astronaut,82.0,597.0,679.0,0.137353433836
aviator,167.0,2249.0,2416.0,0.0742552245442
baker,3.0,41.0,44.0,0.0731707317073
ball game,0.0,16.0,16.0,0.0
ballet master,11.0,20.0,31.0,0.55
balloonist,2.0,9.0,11.0,0.222222222222
bank teller,2.0,40.0,42.0,0.05
bartender,1.0,17.0,18.0,0.0588235294118
beekeeper,3.0,111.0,114.0,0.027027027027
bertsolari,4.0,40.0,44.0,0.1
bibliophile,1.0,30.0,31.0,0.0333333333333
bookseller,9.0,205.0,214.0,0.0439024390244
brewer,0.0,16.0,16.0,0.0
bricklayer,0.0,61.0,61.0,0.0
broadcaster,5.0,18.0,23.0,0.277777777778
builder,1.0,208.0,209.0,0.00480769230769
business engineering,0.0,12.0,12.0,0.0
business manager,6.0,99.0,105.0,0.0606060606061
businessperson,400.0,5248.0,5648.0,0.0762195121951
butcher,1.0,28.0,29.0,0.0357142857143
canon,1.0,193.0,194.0,0.00518134715026
cantor,5.0,96.0,101.0,0.0520833333333
celebrity,7.0,10.0,17.0,0.7
