,nan,transgender female,intersex,fa'afafine,transgender male,female animal,male animal,woman,genderqueer,female,male,kathoey
,257969.0,46.0,14.0,,17.0,2.0,6.0,1.0,10.0,260067.0,1387638.0,
Q100,2.0,,,,,,,,,286.0,1065.0,
Q1000009,,,,,,,,,,,1.0,
Q1000029,,,,,,,,,,1.0,6.0,
Q100003,,,,,,,,,,,1.0,
Q1000030,,,,,,,,,,,1.0,
Q1000033,,,,,,,,,,1.0,10.0,
Q1000037,,,,,,,,,,,2.0,
Q1000052,,,,,,,,,,,1.0,
Q1000056,,,,,,,,,,3.0,8.0,
Q1000060,,,,,,,,,,3.0,18.0,
Q1000065,,,,,,,,,,,3.0,
Q1000069,,,,,,,,,,,3.0,
Q1000073,,,,,,,,,,2.0,13.0,
Q1000078,,,,,,,,,,,12.0,
Q1000086,,,,,,,,,,1.0,6.0,
Q1000091,,,,,,,,,,2.0,10.0,
Q1000093,,,,,,,,,,,3.0,
Q1000097,,,,,,,,,,,3.0,
Q1000099,,,,,,,,,,,2.0,
Q10001,,,,,,,,,,3.0,56.0,
Q1000101,,,,,,,,,,1.0,16.0,
Q1000102,,,,,,,,,,,1.0,
Q1000111,,,,,,,,,,,2.0,
Q1000113,,,,,,,,,,,3.0,
Q1000115,,,,,,,,,,1.0,10.0,
Q1000117,,,,,,,,,,,4.0,
Q1000119,,,,,,,,,,,1.0,
Q1000123,,,,,,,,,,,1.0,
Q1000129,,,,,,,,,,,8.0,
Q1000133,,,,,,,,,,1.0,1.0,
Q1000147,,,,,,,,,,,1.0,
Q1000148,,,,,,,,,,,2.0,
Q100015,,,,,,,,,,,1.0,
Q1000166,,,,,,,,,,,3.0,
Q1000186,,,,,,,,,,1.0,,
Q100019,,,,,,,,,,,1.0,
Q1000191,,,,,,,,,,1.0,,
Q10002,,,,,,,,,,5.0,40.0,
Q1000208,,,,,,,,,,,1.0,
Q1000217,,,,,,,,,,,8.0,
Q1000222,,,,,,,,,,1.0,11.0,
Q1000225,,,,,,,,,,,5.0,
Q1000227,,,,,,,,,,,3.0,
Q1000241,,,,,,,,,,,2.0,
Q10003,,,,,,,,,,,2.0,
Q1000305,,,,,,,,,,,1.0,
Q1000312,,,,,,,,,,1.0,,
Q1000316,,,,,,,,,,,2.0,
Q1000333,,,,,,,,,,,1.0,
Q1000336,,,,,,,,,,,15.0,
Q1000346,,,,,,,,,,,1.0,
Q100036,,,,,,,,,,,4.0,
Q1000360,,,,,,,,,,,2.0,
Q100037,,,,,,,,,,,2.0,
Q100038,,,,,,,,,,,15.0,
Q1000384,,,,,,,,,,,1.0,
Q100039,,,,,,,,,,,8.0,
Q100040,,,,,,,,,,,2.0,
Q1000404,,,,,,,,,,1.0,22.0,
Q100041,1.0,,,,,,,,,10.0,59.0,
Q100043,,,,,,,,,,3.0,16.0,
Q100044,,,,,,,,,,,5.0,
Q1000446,,,,,,,,,,,7.0,
Q100045,,,,,,,,,,,7.0,
Q1000454,,,,,,,,,,1.0,6.0,
Q1000456,,,,,,,,,,,1.0,
Q100046,,,,,,,,,,1.0,2.0,
Q1000461,,,,,,,,,,,1.0,
Q1000467,,,,,,,,,,,5.0,
Q1000475,,,,,,,,,,,1.0,
Q100048,,,,,,,,,,,7.0,
Q100049,,,,,,,,,,,4.0,
Q1000495,,,,,,,,,,,1.0,
Q10005,,,,,,,,,,,2.0,
Q100050,,,,,,,,,,1.0,19.0,
Q100051,,,,,,,,,,,4.0,
Q1000511,,,,,,,,,,,4.0,
Q100052,,,,,,,,,,,1.0,
Q1000538,,,,,,,,,,,2.0,
Q100055,,,,,,,,,,1.0,14.0,
Q100056,,,,,,,,,,,1.0,
Q100057,,,,,,,,,,,2.0,
Q100058,,,,,,,,,,,3.0,
Q1000597,,,,,,,,,,4.0,25.0,
Q10006,,,,,,,,,,3.0,9.0,
Q100060,,,,,,,,,,1.0,2.0,
Q1000609,,,,,,,,,,,2.0,
Q100061,,,,,,,,,,,2.0,
