,nan,transgender female,intersex,fa'afafine,transgender male,female animal,male animal,woman,genderqueer,female,male,kathoey
,3771.0,,,,,1.0,,,,3725.0,15021.0,
abwiki,,,,,,,,,,12.0,101.0,
acewiki,7.0,,,,,,,,,54.0,208.0,
afwiki,153.0,,,,,,,,,571.0,4187.0,
afwikiquote,1.0,,,,,,,,,5.0,102.0,
akwiki,,,,,,,,,,3.0,21.0,
alswiki,8.0,,,,,,,,,242.0,1967.0,
amwiki,3.0,,,,,,,,,86.0,761.0,
angwiki,,,,,,,,,,60.0,224.0,
angwikiquote,,,,,,,,,,,3.0,
anwiki,12.0,,,,,,,,,656.0,3549.0,
arcwiki,,,,,,,,,,16.0,125.0,
arwiki,2452.0,3.0,,,,,,,,5912.0,37488.0,
arwikinews,,,,,,,,,,1.0,10.0,
arwikiquote,,,,,,,,,,12.0,164.0,
arwikisource,,,,,,,,,,2.0,23.0,
arzwiki,167.0,,,,1.0,,,,,1188.0,2522.0,
astwiki,16.0,,,,,,,,,321.0,1849.0,
aswiki,2.0,,,,,,,,,74.0,386.0,
avwiki,1.0,,,,,,,,,,44.0,
aywiki,,,,,,,,,,21.0,257.0,
azwiki,1654.0,1.0,,,,,,,,1490.0,8188.0,
azwikiquote,6.0,,,,,,,,,33.0,547.0,
azwikisource,,,,,,,,,,,13.0,
barwiki,,,,,,,,,,154.0,1050.0,
bat_smgwiki,14.0,,,,,,,,,147.0,744.0,
bawiki,2.0,,,,,,,,,74.0,597.0,
bclwiki,4.0,,,,,,,,,96.0,493.0,
be_x_oldwiki,184.0,1.0,,,,,,,,928.0,7747.0,
bewiki,525.0,1.0,,,,,,,,1790.0,14682.0,
bewikiquote,,,,,,,,,,,35.0,
bewikisource,,,,,,,,,,1.0,28.0,
bgwiki,1922.0,3.0,,,,,,,,5429.0,29773.0,
bgwikiquote,44.0,,,,,,,,,385.0,1946.0,
bgwikisource,,,,,,,,,,2.0,26.0,
bhwiki,1.0,,,,,,,,,8.0,50.0,
biwiki,1.0,,,,,,,,,12.0,50.0,
bjnwiki,15.0,1.0,,,,,,,,20.0,39.0,
bmwiki,,,,,,,,,,6.0,32.0,
bnwiki,66.0,1.0,,,,,,,,1011.0,5654.0,
bnwikisource,,,,,,,,,,,11.0,
bowiki,3.0,,,,,,,,,51.0,372.0,
bpywiki,,,,,,,,,,12.0,80.0,
