,transgender male,female,male
Q4175034,0.0,0.0,1.0
Q210189,0.0,0.0,1.0
Q182603,0.0,0.0,1.0
Q815297,0.0,0.0,1.0
Q16875712,0.0,0.0,1.0
Q184296,0.0,3.0,2.0
Q1138951,0.0,0.0,1.0
Q170978,0.0,1.0,2.0
Q2053,0.0,0.0,1.0
Q194294,0.0,17.0,79.0
Q7444975,0.0,0.0,1.0
Q506858,0.0,0.0,1.0
Q22667,0.0,0.0,4.0
Q1061635,0.0,0.0,1.0
Q3136561,0.0,1.0,0.0
Q854851,0.0,0.0,1.0
Q2176252,0.0,0.0,1.0
Q176483,0.0,0.0,4.0
Q4531151,0.0,1.0,0.0
Q15982348,0.0,0.0,1.0
Q395,0.0,1.0,12.0
Q853422,0.0,0.0,1.0
Q191069,0.0,1.0,0.0
Q328716,0.0,0.0,1.0
Q846742,0.0,0.0,1.0
Q133036,0.0,1.0,1.0
Q82955,0.0,21.0,509.0
Q15982298,0.0,1.0,1.0
Q4783125,0.0,0.0,1.0
Q1596387,0.0,0.0,1.0
Q1061896,0.0,0.0,1.0
Q208554,0.0,0.0,1.0
Q173285,0.0,0.0,2.0
Q162314,0.0,0.0,2.0
Q1721024,0.0,0.0,1.0
Q10908,0.0,1.0,0.0
Q243455,0.0,0.0,1.0
Q182468,0.0,0.0,1.0
Q746359,0.0,1.0,2.0
Q1420050,0.0,0.0,1.0
Q998555,0.0,2.0,6.0
Q40203,0.0,1.0,0.0
Q1802210,0.0,0.0,1.0
Q6689,0.0,0.0,3.0
Q337935,0.0,1.0,0.0
Q4056436,0.0,0.0,2.0
Q785301,0.0,0.0,1.0
Q25814,0.0,0.0,1.0
Q192110,0.0,1.0,0.0
Q2878974,0.0,0.0,3.0
Q6805456,0.0,0.0,1.0
Q1172458,0.0,0.0,4.0
Q1143847,0.0,0.0,2.0
Q499578,0.0,0.0,2.0
Q1075838,0.0,0.0,2.0
Q1515727,0.0,0.0,1.0
Q1516257,0.0,0.0,1.0
Q718714,0.0,0.0,0.0
Q1231361,0.0,0.0,1.0
Q59104,0.0,0.0,1.0
Q36389,0.0,0.0,1.0
Q170571,0.0,41.0,285.0
Q1136807,0.0,0.0,1.0
Q1783542,0.0,0.0,1.0
Q169470,0.0,0.0,2.0
Q9174,0.0,2.0,4.0
Q997515,0.0,0.0,1.0
Q15117302,0.0,1.0,0.0
Q3254959,0.0,1.0,0.0
Q7889,0.0,7.0,100.0
Q2823717,0.0,0.0,1.0
Q28319,0.0,0.0,6.0
Q147638,0.0,0.0,2.0
Q190993,0.0,1.0,3.0
Q17167049,0.0,0.0,1.0
Q2352880,0.0,0.0,1.0
Q7794,0.0,0.0,2.0
Q36279,0.0,1.0,0.0
Q189177,0.0,0.0,1.0
Q183904,0.0,1.0,1.0
Q7150,0.0,0.0,2.0
Q28793,0.0,0.0,2.0
Q11460,0.0,0.0,1.0
Q11467,0.0,0.0,1.0
Q201022,0.0,0.0,1.0
Q165950,0.0,0.0,2.0
Q219186,0.0,0.0,1.0
Q2302151,0.0,0.0,2.0
Q133080,0.0,0.0,1.0
Q855159,0.0,0.0,1.0
Q877729,0.0,1.0,0.0
Q219477,0.0,0.0,1.0
Q4969124,0.0,0.0,1.0
Q639669,0.0,0.0,2.0
Q49757,0.0,1.0,2.0
Q235007,0.0,0.0,1.0
Q1033379,0.0,0.0,1.0
Q2526255,0.0,0.0,1.0
Q944,0.0,0.0,2.0
Q1361756,0.0,0.0,2.0
Q12811294,0.0,0.0,1.0
Q477248,0.0,0.0,1.0
Q214255,0.0,1.0,2.0
Q186579,0.0,1.0,1.0
Q1621662,0.0,0.0,1.0
Q2143884,0.0,0.0,1.0
Q350979,0.0,0.0,1.0
Q2860334,0.0,0.0,1.0
Q4543,0.0,3.0,4.0
Q2133414,0.0,0.0,1.0
Q397,0.0,0.0,1.0
Q227870,0.0,0.0,2.0
Q214781,0.0,1.0,0.0
Q1133779,0.0,0.0,7.0
Q338292,0.0,1.0,0.0
Q13636890,0.0,0.0,1.0
Q121998,0.0,0.0,1.0
Q1423891,0.0,0.0,1.0
Q1790577,0.0,0.0,1.0
Q295031,0.0,0.0,1.0
Q5200157,0.0,1.0,0.0
Q43015,0.0,0.0,1.0
Q271977,0.0,3.0,44.0
Q166788,0.0,0.0,1.0
Q32110,0.0,0.0,1.0
Q1089246,0.0,0.0,3.0
Q22651,0.0,0.0,1.0
Q843900,0.0,0.0,3.0
Q4294702,0.0,1.0,0.0
Q105985,0.0,2.0,0.0
Q83168,0.0,0.0,1.0
Q37137,0.0,1.0,0.0
Q17358606,0.0,0.0,1.0
Q2762504,0.0,1.0,0.0
Q1062194,0.0,0.0,1.0
Q897511,0.0,0.0,1.0
Q853077,0.0,0.0,1.0
Q124946,0.0,0.0,1.0
Q192296,0.0,2.0,1.0
Q3002818,0.0,0.0,1.0
Q491412,0.0,0.0,2.0
Q379755,0.0,0.0,2.0
Q495527,0.0,0.0,3.0
Q1898464,0.0,0.0,1.0
Q282503,0.0,0.0,1.0
Q18533485,0.0,0.0,1.0
Q589518,0.0,0.0,1.0
Q5615097,0.0,0.0,1.0
Q2006230,0.0,0.0,1.0
Q3177899,0.0,1.0,0.0
Q1456948,0.0,0.0,1.0
Q1541064,0.0,1.0,0.0
Q132364,0.0,0.0,1.0
Q178540,0.0,0.0,1.0
Q59115,0.0,0.0,3.0
Q5054583,0.0,0.0,1.0
Q7094,0.0,3.0,5.0
Q2068526,0.0,0.0,1.0
Q223569,0.0,3.0,1.0
Q2122746,0.0,0.0,1.0
Q1065742,0.0,0.0,1.0
Q3516404,0.0,0.0,1.0
Q908692,0.0,0.0,1.0
Q5935105,0.0,0.0,1.0
Q5994637,0.0,0.0,1.0
Q185278,0.0,0.0,1.0
Q605816,0.0,0.0,1.0
Q254651,0.0,0.0,1.0
Q11446451,0.0,0.0,1.0
Q81058,0.0,0.0,2.0
Q27686,0.0,0.0,1.0
Q11457,0.0,0.0,1.0
Q11451,0.0,0.0,2.0
Q11452,0.0,0.0,2.0
Q11453,0.0,0.0,1.0
Q7787,0.0,1.0,0.0
Q27939,0.0,1.0,2.0
Q297672,0.0,0.0,1.0
Q163900,0.0,0.0,0.0
Q7141,0.0,2.0,0.0
Q13360823,0.0,0.0,1.0
Q1198874,0.0,0.0,2.0
Q58734,0.0,0.0,1.0
Q9134,0.0,0.0,1.0
Q1789149,0.0,0.0,2.0
Q489119,0.0,0.0,1.0
Q7617810,0.0,0.0,1.0
Q183888,0.0,0.0,2.0
Q217413,0.0,0.0,2.0
Q688335,0.0,0.0,1.0
Q47928,0.0,0.0,4.0
Q639493,0.0,1.0,0.0
Q44325,0.0,0.0,4.0
Q333458,0.0,1.0,0.0
Q1165883,0.0,0.0,1.0
Q42225,0.0,0.0,1.0
Q185698,0.0,1.0,0.0
Q72142,0.0,0.0,1.0
Q16525233,0.0,0.0,4.0
Q34726,0.0,0.0,1.0
Q943365,0.0,0.0,1.0
Q214267,0.0,0.0,2.0
Q123637,0.0,0.0,2.0
Q1146354,0.0,1.0,3.0
Q134307,0.0,5.0,12.0
Q1071,0.0,0.0,3.0
Q21198,0.0,4.0,55.0
Q1143546,0.0,0.0,1.0
Q21201,0.0,1.0,8.0
Q179161,0.0,0.0,1.0
Q864191,0.0,0.0,2.0
Q134783,0.0,0.0,1.0
Q234181,0.0,0.0,2.0
Q858517,0.0,0.0,1.0
Q5378,0.0,0.0,2.0
Q2386424,0.0,0.0,1.0
Q331563,0.0,0.0,1.0
Q11755949,0.0,0.0,1.0
Q5375,0.0,0.0,2.0
Q142714,0.0,0.0,1.0
Q83371,0.0,0.0,3.0
Q9268,0.0,0.0,1.0
Q8341,0.0,0.0,2.0
Q22649,0.0,0.0,1.0
Q482,0.0,11.0,68.0
Q465352,0.0,0.0,1.0
Q485,0.0,0.0,1.0
Q2078,0.0,0.0,1.0
Q459042,0.0,2.0,2.0
Q8018,0.0,0.0,1.0
Q1412694,0.0,0.0,1.0
Q82972,0.0,0.0,1.0
Q26336,0.0,0.0,1.0
Q36442,0.0,0.0,7.0
Q11216,0.0,0.0,5.0
