qid,english_name,culture_number,culture_name
Q805,Yemen,3,islamic
Q159,Russia,2,orthodox
Q711,Mongolia,1,confucian
Q183,Germany,7,protestant europe
Q30,United States of America,8,english speaking
Q96,Mexico,9,latin america
Q142,France,6,catholic europe
Q739,Colombia,9,latin america
Q114,Kenya,9,latin america
Q212,Ukraine,2,orthodox
Q39,Switzerland,6,catholic europe
Q38,Italy,6,catholic europe
Q668,India,4,south asia
Q40,Austria,6,catholic europe
Q145,United Kingdom,8,english speaking
Q148,People's Republic of China,1,confucian
Q213,Czech Republic,6,catholic europe
Q227,Azerbaijan,2,orthodox
Q29,Spain,6,catholic europe
Q408,Australia,8,english speaking
Q215,Slovenia,6,catholic europe
Q222,Albania,2,orthodox
Q16,Canada,8,english speaking
Q854,Sri Lanka,4,south asia
Q794,Iran,3,islamic
Q298,Chile,9,latin america
Q31,Belgium,6,catholic europe
Q155,Brazil,9,latin america
Q129286,British Raj,4,south asia
Q717,Venezuela,9,latin america
Q27,Republic of Ireland,8,english speaking
Q414,Argentina,9,latin america
Q17,Japan,1,confucian
Q948,Tunisia,3,islamic
Q218,Romania,2,orthodox
Q217,Moldova,2,orthodox
Q117,Ghana,5,africa
Q252,Indonesia,3,islamic
Q20,Norway,7,protestant europe
Q36,Poland,6,catholic europe
Q403,Serbia,2,orthodox
Q928,Philippines,4,south asia
Q801,Israel,2,orthodox
Q733,Paraguay,9,latin america
Q34,Sweden,7,protestant europe
Q881,Vietnam,4,south asia
Q258,South Africa,5,africa
Q41,Greece,2,orthodox
Q191,Estonia,7,protestant europe
Q858,Syria,3,islamic
Q33,Finland,7,protestant europe
Q55,Netherlands,7,protestant europe
Q958,South Sudan,5,africa
Q214,Slovakia,6,catholic europe
Q28,Hungary,6,catholic europe
Q750,Bolivia,9,latin america
Q225,Bosnia and Herzegovina,2,orthodox
Q233,Malta,6,catholic europe
Q224,Croatia,6,catholic europe
Q262,Algeria,3,islamic
Q851,Saudi Arabia,3,islamic
Q37,Lithuania,7,protestant europe
Q35,Denmark,7,protestant europe
Q419,Peru,9,latin america
Q211,Latvia,7,protestant europe
