"HITID","qid","en_label","aggregate_group","Worker1","Answer1","Worker2","Answer2","Agreement","Answer","Date"
"3R0WOCG21L8Q8YV6WGXIFJYR1AADUD","http://wikidata.org/wiki/Q3267812","Portuguese American","","A1NJ1IJLKAS0Y4","Latin America","AVX3SWFMBEPMZ","Latin America","Yes","Latin America","Wed Oct 29 00:33:17 UTC 2014"
"3LEG2HW4UEMEM60042I2X06KUW5F26","http://wikidata.org/wiki/Q873625","Brazilians","","A1GKEEI844CEKI","Latin America","AVX3SWFMBEPMZ","Latin America","Yes","Latin America","Wed Oct 29 01:17:29 UTC 2014"
"3VO4XFFP14LIZWNFOUAR5QR6CE17Q9","http://wikidata.org/wiki/Q800167","Gwere people","","A1GKEEI844CEKI","Africa","AVX3SWFMBEPMZ","Africa","Yes","Africa","Wed Oct 29 00:45:59 UTC 2014"
"302U8RURJY0Z7PBJQ0LQ7AC4TLLNVU","http://wikidata.org/wiki/Q17","Japan","","A18TCR555RWUZV","Confucian","A2T7HLGR4UMO39","Confucian","Yes","Confucian","Wed Oct 29 00:40:15 UTC 2014"
"3087LXLJ6LF7QWXMPFEOECD5XYLF0M","http://wikidata.org/wiki/Q819186","Mandinka people","","A2WNW8A4MOR7T7","Africa","AVX3SWFMBEPMZ","Africa","Yes","Africa","Wed Oct 29 05:19:06 UTC 2014"
"3K3G488TR173CS9W01VU76DAL865QS","http://wikidata.org/wiki/Q188779","Norwegians","","A18TCR555RWUZV","Protestant European","A3HSMUPSPOKD0M","Protestant European","Yes","Protestant European","Wed Oct 29 01:12:53 UTC 2014"
"31JUPBOORM3B8DCL6UU124O7DSKL8L","http://wikidata.org/wiki/Q159","Russia","","A2QBRIK4G0WCBE","Orthodox","AVX3SWFMBEPMZ","Orthodox","Yes","Orthodox","Wed Oct 29 01:21:26 UTC 2014"
"3UEBBGULPENN6I92NMS83J1CDNQFUQ","http://wikidata.org/wiki/Q1344183","English American","","A2WNW8A4MOR7T7","English-speaking","A3HSMUPSPOKD0M","English-speaking","Yes","English-speaking","Wed Oct 29 01:24:15 UTC 2014"
"363A7XIFV3LSN6HUHWGLL4S4UEMAVX","http://wikidata.org/wiki/Q241696","Somali people","","A2QLSHXNCHBRN4","Africa","A2WNW8A4MOR7T7","Africa","Yes","Africa","Wed Oct 29 00:32:50 UTC 2014"
"3NQUW096N57BMIVVBM0F20JIXY2L9A","http://wikidata.org/wiki/Q161652","Japanese people","","A2QLSHXNCHBRN4","Confucian","A2WNW8A4MOR7T7","Confucian","Yes","Confucian","Wed Oct 29 01:12:11 UTC 2014"
"3EFNPKWBMRNCAKHT5KDMD3O8U8H03Z","http://wikidata.org/wiki/Q219","Bulgaria","","A2YDKZI930GXVP","Orthodox","A3HSMUPSPOKD0M","Orthodox","Yes","Orthodox","Wed Oct 29 01:40:43 UTC 2014"
"3HEM8MA6H8B752RFKG485CIRC86PQX","http://wikidata.org/wiki/Q12223","Kurdish people","","A1NJ1IJLKAS0Y4","Islamic","A2YDKZI930GXVP","Islamic","Yes","Islamic","Wed Oct 29 00:41:27 UTC 2014"
"3CMV9YRYP200SU84XYRSRUXLT3ELJ5","http://wikidata.org/wiki/Q47740","Muslim","","A2YDKZI930GXVP","Islamic","A3HSMUPSPOKD0M","Islamic","Yes","Islamic","Wed Oct 29 01:10:29 UTC 2014"
"3B0MCRZMBQTM5QQ0K3PJ57SH7CKPP6","http://wikidata.org/wiki/Q218","Romania","","A1GKEEI844CEKI","Orthodox","AXMPSUNKUBEIL","Orthodox","Yes","Orthodox","Wed Oct 29 01:07:44 UTC 2014"
"3V8JSVE8YXPCHDTB2C5ROMMPXALYEO","http://wikidata.org/wiki/Q55","Netherlands","","A3HSMUPSPOKD0M","Protestant European","AXMPSUNKUBEIL","Protestant European","Yes","Protestant European","Wed Oct 29 01:40:37 UTC 2014"
"31SIZS5W58ESHF7UX88XA7I6DQVQRR","http://wikidata.org/wiki/Q164714","Danes","","A1GKEEI844CEKI","Protestant European","A2YDKZI930GXVP","Protestant European","Yes","Protestant European","Wed Oct 29 01:02:20 UTC 2014"
"3UOMW19E6C5ZIRZDVJUZN1OTHT55CN","http://wikidata.org/wiki/Q1150312","Greek American","","A3HSMUPSPOKD0M","English-speaking","AKFH16PLQSYHY","English-speaking","Yes","English-speaking","Wed Oct 29 01:02:18 UTC 2014"
"35YHTYFL1F2NJXY2SC2DZ53VRUZFVF","http://wikidata.org/wiki/Q15093634","Georgians","","A2YDKZI930GXVP","Orthodox","ABM77ZQWCHPNX","Orthodox","Yes","Orthodox","Wed Oct 29 03:34:23 UTC 2014"
"3H6W48L9F3OCPZN1WP3EX10D09NPW1","http://wikidata.org/wiki/Q1318885","Thai","","A2WNW8A4MOR7T7","South Asia","A3HSMUPSPOKD0M","South Asia","Yes","South Asia","Wed Oct 29 01:39:04 UTC 2014"
"3UXQ63NLA9LUABAS96EBT6E8LY5LBK","http://wikidata.org/wiki/Q318806","Abenaki people","","A1GKEEI844CEKI","English-speaking","A2WNW8A4MOR7T7","English-speaking","Yes","English-speaking","Wed Oct 29 00:52:14 UTC 2014"
"3KLL7H3EGC07XTP8N2QD2QF879BHVE","http://wikidata.org/wiki/Q146521","Sorbs","","AHZK68L2UCA70","Catholic European","AXMPSUNKUBEIL","Catholic European","Yes","Catholic European","Wed Oct 29 01:43:16 UTC 2014"
"3P7QK0GJ3SKKRNR05EC90SM26102ZI","http://wikidata.org/wiki/Q242485","Flemish people","","A1GKEEI844CEKI","Protestant European","A1NJ1IJLKAS0Y4","Protestant European","Yes","Protestant European","Wed Oct 29 00:54:10 UTC 2014"
