qid,en_label,Answer1,Answer2,Answer,Answer-Piotr
http://wikidata.org/wiki/Q1041917,Spanish American,Catholic European,Latin America,Latin America,Latin America
  http://wikidata.org/wiki/Q183573,Hui people,Confucian,Islamic,Islamic,Islamic
http://wikidata.org/wiki/Q253410,Chuvash people,Islamic,Orthodox,Orthodox,Orthodox
http://wikidata.org/wiki/Q4450068,Thai American,English-speaking,South Asia,South Asia,English-speaking
http://wikidata.org/wiki/Q807005,Banu Ghatafan,Confucian,Islamic,Islamic,Islamic
http://wikidata.org/wiki/Q191356,Icelanders,English-speaking,Protestant European,Protestant European,Protestant European
http://wikidata.org/wiki/Q2844818,Amerasian,English-speaking,South Asia,South Asia,English-speaking
http://wikidata.org/wiki/Q191,Estonia,Catholic European,Orthodox,Protestant European,Protestant European
http://wikidata.org/wiki/Q817393,Black people,Africa,English-speaking,Africa,Africa
http://wikidata.org/wiki/Q14122225,British,English-speaking,Protestant European,English-speaking,English-speaking
http://wikidata.org/wiki/Q23666,Great Britain,English-speaking,Protestant European,English-speaking,English-speaking
http://wikidata.org/wiki/Q115026,Swedish American,English-speaking,Protestant European,Protestant European,English-speaking
http://wikidata.org/wiki/Q1196649,Kashmiri people,English-speaking,South Asia,South Asia,South Asia
http://wikidata.org/wiki/Q181634,Scottish people,Catholic European,Protestant European,English-speaking,English-speaking
http://wikidata.org/wiki/Q4920978,Black Hispanic and Latino Americans,English-speaking,Latin America,English-speaking,English-speaking
http://wikidata.org/wiki/Q106974,Ossetians,Islamic,Orthodox,Orthodox,Orthodox
http://wikidata.org/wiki/Q3827586,Banu Hanifa,Islamic,Latin America,Islamic,Islamic
http://wikidata.org/wiki/Q9268,Judaism,Catholic European,English-speaking,Orthodox,Jewish
http://wikidata.org/wiki/Q836076,Lipka Tatars,Catholic European,Confucian,Catholic European,Islamic
http://wikidata.org/wiki/Q25,Wales,English-speaking,Latin America,English-speaking,English-speaking
http://wikidata.org/wiki/Q49540,Latvian people,Catholic European,Orthodox,Protestant European,Protestant European
http://wikidata.org/wiki/Q80040,Kazakhs,Orthodox,South Asia,Islamic,Islamic
http://wikidata.org/wiki/Q3072663,Finnish American,Catholic European,English-speaking,Protestant European,English-speaking
http://wikidata.org/wiki/Q969667,Ubykh people,Islamic,Orthodox,Islamic,Islamic
http://wikidata.org/wiki/Q1752440,Israeli Jews,Catholic European,Islamic,Orthodox,Jewish
http://wikidata.org/wiki/Q222175,Cornish people,English-speaking,Protestant European,English-speaking,English-speaking
http://wikidata.org/wiki/Q6071674,Irish migration to Great Britain,Catholic European,English-speaking,English-speaking,English-speaking
http://wikidata.org/wiki/Q165192,Swedes,Catholic European,Protestant European,Protestant European,Protestant European
http://wikidata.org/wiki/Q2749107,Islam in Sri Lanka,Islamic,South Asia,Islamic,Islamic
http://wikidata.org/wiki/Q1071516,Chhetri,Islamic,South Asia,South Asia,South Asia
http://wikidata.org/wiki/Q1092654,Yellowknives,English-speaking,South Asia,English-speaking,English-speaking
http://wikidata.org/wiki/Q37014,Yupik peoples,English-speaking,Islamic,English-speaking,English-speaking
http://wikidata.org/wiki/Q321090,German Brazilian,Latin America,Protestant European,Protestant European,Latin America
http://wikidata.org/wiki/Q2414972,Banu Makhzum,Africa,Islamic,Islamic,Islamic
http://wikidata.org/wiki/Q1413685,Filipino American,English-speaking,South Asia,South Asia,English-speaking
http://wikidata.org/wiki/Q445618,Banat Swabians,Africa,Protestant European,Protestant European,Protestant European
http://wikidata.org/wiki/Q4829787,Awan,Islamic,South Asia,South Asia,South Asia
http://wikidata.org/wiki/Q8060,Romani people,English-speaking,Protestant European,Orthodox,Orthodox
http://wikidata.org/wiki/Q1355420,Nambudiri,Orthodox,South Asia,South Asia,South Asia
http://wikidata.org/wiki/Q415354,Caucasian,English-speaking,South Asia,English-speaking,Orthodox
http://wikidata.org/wiki/Q5031141,Canarian people,Catholic European,Protestant European,Catholic European,Catholic European
http://wikidata.org/wiki/Q236807,Yugoslavs,Catholic European,Orthodox,Orthodox,Orthodox
http://wikidata.org/wiki/Q6122670,Māori,English-speaking,South Asia,South Asia,South Asia
http://wikidata.org/wiki/Q1219693,Jaga,Africa,English-speaking,Islamic,Islamic
http://wikidata.org/wiki/Q4256383,Indonesian American,English-speaking,South Asia,South Asia,South Asia
http://wikidata.org/wiki/Q1262400,Mende people,Africa,South Asia,Africa,Africa
http://wikidata.org/wiki/Q707133,Taiwanese people,Confucian,South Asia,Confucian,Confucian
http://wikidata.org/wiki/Q2657969,Vietnamese American,English-speaking,South Asia,South Asia,South Asia
http://wikidata.org/wiki/Q2879337,Bahrani people,English-speaking,Islamic,Islamic,Islamic
http://wikidata.org/wiki/Q244028,Kabarday,Islamic,Orthodox,Islamic,Islamic
http://wikidata.org/wiki/Q15980602,Romani people in Bosnia and Herzegovina,Catholic European,Islamic,Orthodox,Orthodox
http://wikidata.org/wiki/Q133032,Hungarian people,Catholic European,Orthodox,Catholic European,Catholic European
http://wikidata.org/wiki/Q4855425,Bangladeshi American,English-speaking,Islamic,South Asia,English-speaking
http://wikidata.org/wiki/Q483047,Uzbeks,Islamic,Orthodox,Islamic,IslamicIslamic
http://wikidata.org/wiki/Q173491,Tamil people,Orthodox,South Asia,South Asia,South Asia
http://wikidata.org/wiki/Q388467,Afro-Cuban,Africa,Latin America,Africa,Latin America
http://wikidata.org/wiki/Q1060050,Afro-Russian,Africa,Orthodox,Africa,Orthodox
http://wikidata.org/wiki/Q1945786,Chinese Indonesians,Confucian,South Asia,Confucian,Confucian
http://wikidata.org/wiki/Q485150,Romanians,Catholic European,Orthodox,Orthodox,Orthodox
http://wikidata.org/wiki/Q7023212,Ngāi Tūhoe,English-speaking,South Asia,South Asia,South Asia
http://wikidata.org/wiki/Q5448648,Filipinos in Norway,Catholic European,South Asia,South Asia,South Asia
http://wikidata.org/wiki/Q2513044,Chinese people in Burma,Confucian,South Asia,Confucian,Confucian
http://wikidata.org/wiki/Q187985,Tibetan people,Confucian,South Asia,Confucian,Confucian
http://wikidata.org/wiki/Q980,Bavaria,Catholic European,Protestant European,Protestant European,Protestant European
http://wikidata.org/wiki/Q2904712,Sebei people,Africa,Orthodox,Africa,Africa
http://wikidata.org/wiki/Q1280677,Serbs of Croatia,Catholic European,Orthodox,Orthodox,Orthodox
http://wikidata.org/wiki/Q6572419,List of Greek Americans,Catholic European,Orthodox,Orthodox,invalid entry
http://wikidata.org/wiki/Q371762,Yeniche people,Protestant European,South Asia,Protestant European,Protestant European
http://wikidata.org/wiki/Q2671687,Armenians in France,Catholic European,Orthodox,Orthodox,Orthodox
http://wikidata.org/wiki/Q1075293,Irish American,Catholic European,English-speaking,English-speaking,English-speaking
http://wikidata.org/wiki/Q7042073,Niyogi,Africa,Confucian,South Asia,South Asia
http://wikidata.org/wiki/Q173302,Estonians,Catholic European,Orthodox,Protestant European,Protestant European
http://wikidata.org/wiki/Q273854,Gauls,Catholic European,Orthodox,Catholic European,pre-Modern European
http://wikidata.org/wiki/Q203178,Kikuyu,Africa,Confucian,Africa,Africa
http://wikidata.org/wiki/Q664609,Caribbean,English-speaking,Latin America,Latin America,Latin America
http://wikidata.org/wiki/Q48,Asia,English-speaking,South Asia,Confucian,South Asia
http://wikidata.org/wiki/Q33938,Hausa people,Africa,Islamic,Africa,Africa
http://wikidata.org/wiki/Q7994805,White Hispanic and Latino Americans,English-speaking,Latin America,English-speaking,English-speaking
http://wikidata.org/wiki/Q472834,Thai people,Confucian,South Asia,South Asia,South Asia
http://wikidata.org/wiki/Q648255,Kabyle people,Africa,Islamic,Islamic,Islamic
http://wikidata.org/wiki/Q1053996,Central Saint Martins,English-speaking,Latin America,English-speaking,English-speaking
http://wikidata.org/wiki/Q9142,Irish,Catholic European,English-speaking,English-speaking,English-speaking
http://wikidata.org/wiki/Q4789496,Argentines of European descent,Catholic European,English-speaking,Latin America,Latin America
http://wikidata.org/wiki/Q170355,Indigenous Australians,English-speaking,South Asia,South Asia,South Asia
http://wikidata.org/wiki/Q1249914,Konkani people,Catholic European,South Asia,South Asia,South Asia
http://wikidata.org/wiki/Q3631427,Azerbaijani,Islamic,Orthodox,Islamic,Islamic
http://wikidata.org/wiki/Q604606,Pazeh people,Confucian,Protestant European,Confucian,Confucian
http://wikidata.org/wiki/Q943349,Kayan people,Confucian,South Asia,South Asia,South Asia
http://wikidata.org/wiki/Q36692,Zhuang people,Confucian,South Asia,Confucian,Confucian
http://wikidata.org/wiki/Q5290725,Dominican American,English-speaking,Latin America,Latin America,Latin America
http://wikidata.org/wiki/Q102251,Sephardi Jews,Africa,English-speaking,Catholic European,Jewish
http://wikidata.org/wiki/Q42406,English people,English-speaking,Protestant European,English-speaking,English-speaking
http://wikidata.org/wiki/Q2505231,Ukrainian American,Catholic European,English-speaking,Orthodox,English-speaking
http://wikidata.org/wiki/Q1324889,Germiyanids,Islamic,Protestant European,Islamic,Islamic
http://wikidata.org/wiki/Q152965,Silesian German,Catholic European,Protestant European,Protestant European,Protestant European
http://wikidata.org/wiki/Q301533,Fante people,Africa,Islamic,Africa,Africa
http://wikidata.org/wiki/Q127885,Serbs,Islamic,Orthodox,Orthodox,Orthodox
http://wikidata.org/wiki/Q200263,Parsi,Islamic,South Asia,Islamic,Islamic
http://wikidata.org/wiki/Q1849258,Albanian American,Catholic European,English-speaking,Islamic,English-speaking
http://wikidata.org/wiki/Q186192,Lithuanian people,Catholic European,Orthodox,Catholic European,Catholic European
http://wikidata.org/wiki/Q1140588,Russian American,English-speaking,Orthodox,Orthodox,English-speaking
http://wikidata.org/wiki/Q33,Finland,Catholic European,Protestant European,Protestant European,Protestant European
http://wikidata.org/wiki/Q4701435,Aklanon people,Catholic European,South Asia,South Asia,South Asia
http://wikidata.org/wiki/Q35565,Tatars,Islamic,Orthodox,Orthodox,Islamic
http://wikidata.org/wiki/Q377085,Assyrian people,Islamic,South Asia,Islamic,pre-modern Middle East
http://wikidata.org/wiki/Q318674,Oromo people,Africa,Islamic,Africa,Africa
http://wikidata.org/wiki/Q209959,Miao people,Confucian,South Asia,South Asia,South Asia
http://wikidata.org/wiki/Q739970,Serer people,Africa,Islamic,Africa,Africa
http://wikidata.org/wiki/Q543386,Oglala Lakota,English-speaking,Latin America,English-speaking,English-speaking
http://wikidata.org/wiki/Q503963,Bamar,Islamic,South Asia,South Asia,South Asia
http://wikidata.org/wiki/Q1267758,Red Karen,Orthodox,South Asia,Confucian,Confucian
http://wikidata.org/wiki/Q388315,Afro-Brazilian,Catholic European,Latin America,Africa,Latin America
http://wikidata.org/wiki/Q6501380,Chinese people,Confucian,South Asia,Confucian,Confucian
http://wikidata.org/wiki/Q2408653,Thai Chinese,Confucian,South Asia,South Asia,South Asia
http://wikidata.org/wiki/Q2533493,Maidu,Africa,English-speaking,English-speaking,English-speaking
http://wikidata.org/wiki/Q297382,Hausa,Islamic,Latin America,Africa,Africa
http://wikidata.org/wiki/Q276879,Korean American,Confucian,English-speaking,Confucian,English-speaking
http://wikidata.org/wiki/Q702220,Pennsylvania Dutch,English-speaking,Protestant European,English-speaking,English-speaking
http://wikidata.org/wiki/Q1286876,Maltese people,Catholic European,Orthodox,Catholic European,Catholic European
http://wikidata.org/wiki/Q1024825,Chindian,Confucian,South Asia,Confuciana,South Asia
http://wikidata.org/wiki/Q409760,Armenian,Islamic,Orthodox,Orthodox,Orthodox
http://wikidata.org/wiki/Q106416,Frisian people,Catholic European,Protestant European,Protestant European,Protestant European
http://wikidata.org/wiki/Q484472,Turkmen people,Islamic,Orthodox,Islamic,Islamic
http://wikidata.org/wiki/Q7842496,Trinidadian and Tobagonian American,English-speaking,Latin America,Latin America,Latin America
http://wikidata.org/wiki/Q142702,Ethnic Malays,Confucian,South Asia,South Asia,South Asia
http://wikidata.org/wiki/Q224,Croatia,Catholic European,Orthodox,Catholic European,Catholic European
http://wikidata.org/wiki/Q1250849,Pākehā,English-speaking,South Asia,South Asia,South Asia
http://wikidata.org/wiki/Q482942,Azerbaijani people,Islamic,Orthodox,Islamic,Islamic
http://wikidata.org/wiki/Q40477,Slavs,Catholic European,Orthodox,Orthodox,Orthodox
http://wikidata.org/wiki/Q309197,Bretons,Catholic European,English-speaking,Catholic European,Catholic European
http://wikidata.org/wiki/Q29401,Assamese,Islamic,South Asia,South Asia,South Asia
http://wikidata.org/wiki/Q262,Algeria,Africa,Islamic,Islamic,Islamic
http://wikidata.org/wiki/Q2696805,Dutch Australian,English-speaking,South Asia,Protestant European,English-speaking
