qid,en_label,aggregate_group
http://wikidata.org/wiki/Q1000,Gabon,
http://wikidata.org/wiki/Q1003703,Bulgaria,
http://wikidata.org/wiki/Q1003997,Judea,
http://wikidata.org/wiki/Q1005,Gambia,
http://wikidata.org/wiki/Q1005289,Canadian nationality law,
http://wikidata.org/wiki/Q1006,Guinea,
http://wikidata.org/wiki/Q1007,Guinea-Bissau,
http://wikidata.org/wiki/Q1008,Côte d'Ivoire,
http://wikidata.org/wiki/Q1009,Cameroon,
http://wikidata.org/wiki/Q1011,Cape Verde,
http://wikidata.org/wiki/Q1013,Lesotho,
http://wikidata.org/wiki/Q1014,Liberia,
http://wikidata.org/wiki/Q1016,Libya,
http://wikidata.org/wiki/Q1019,Madagascar,
http://wikidata.org/wiki/Q1020,Malawi,
http://wikidata.org/wiki/Q1025,Mauritania,
http://wikidata.org/wiki/Q1027,Mauritius,
http://wikidata.org/wiki/Q1028,Morocco,
http://wikidata.org/wiki/Q1029,Mozambique,
http://wikidata.org/wiki/Q1030,Namibia,
http://wikidata.org/wiki/Q103122,Ostrogoths,
http://wikidata.org/wiki/Q1032,Niger,
http://wikidata.org/wiki/Q1033,Nigeria,
http://wikidata.org/wiki/Q1036,Uganda,
http://wikidata.org/wiki/Q1037,Rwanda,
http://wikidata.org/wiki/Q1039,Sao Tomé and Príncipe,
http://wikidata.org/wiki/Q1041,Senegal,
http://wikidata.org/wiki/Q10416611,Vandal Kingdom,
http://wikidata.org/wiki/Q1042,Seychelles,
http://wikidata.org/wiki/Q104285,Occitania,
http://wikidata.org/wiki/Q1044,Sierra Leone,
http://wikidata.org/wiki/Q1045,Somalia,
http://wikidata.org/wiki/Q1047264,Wampanoag people,
http://wikidata.org/wiki/Q1049,Sudan,
http://wikidata.org/wiki/Q1050,Swaziland,
http://wikidata.org/wiki/Q1054409,March of Ancona,
http://wikidata.org/wiki/Q1055,Hamburg,
http://wikidata.org/wiki/Q106782,Kingdom of God,
http://wikidata.org/wiki/Q1069905,Cheng Han,
http://wikidata.org/wiki/Q10957559,Principality of Moldavia,
http://wikidata.org/wiki/Q1098499,Kingdom of Italy,
http://wikidata.org/wiki/Q1108445,Kievan Rus',
http://wikidata.org/wiki/Q11169,?,
http://wikidata.org/wiki/Q11225429,Thebes,
http://wikidata.org/wiki/Q11266977,Epirus,
http://wikidata.org/wiki/Q1134180,Lower Canada,
http://wikidata.org/wiki/Q114,Kenya,
http://wikidata.org/wiki/Q1143126,Later Tang Dynasty,
http://wikidata.org/wiki/Q1147043,Southern Song,
http://wikidata.org/wiki/Q115,Ethiopia,
http://wikidata.org/wiki/Q1154406,Ashikaga shogunate,
http://wikidata.org/wiki/Q1156248,England and Wales,
http://wikidata.org/wiki/Q117,Ghana,
http://wikidata.org/wiki/Q11703,United States Virgin Islands,
http://wikidata.org/wiki/Q11768,Ancient Egypt,
http://wikidata.org/wiki/Q11772,Ancient Greece,
http://wikidata.org/wiki/Q1179,Aquitaine,
http://wikidata.org/wiki/Q1183,Puerto Rico,
http://wikidata.org/wiki/Q1188046,Yan,
