qid,en_label,aggregate_group
http://wikidata.org/wiki/Q1003039,Chinese Singaporean,
http://wikidata.org/wiki/Q10090,Hindu,
http://wikidata.org/wiki/Q101828,Ainu people,
http://wikidata.org/wiki/Q102090,Apache,
http://wikidata.org/wiki/Q102251,Sephardi Jews,
http://wikidata.org/wiki/Q1024825,Chindian,
http://wikidata.org/wiki/Q1026,Poles,
http://wikidata.org/wiki/Q1033,Nigeria,
http://wikidata.org/wiki/Q1036,Uganda,
http://wikidata.org/wiki/Q1041917,Spanish American,
http://wikidata.org/wiki/Q1044876,Xibe people,
http://wikidata.org/wiki/Q1053996,Central Saint Martins,
http://wikidata.org/wiki/Q105405,Cherokee,
http://wikidata.org/wiki/Q1060050,Afro-Russian,
http://wikidata.org/wiki/Q1060646,South Asian ethnic groups,
http://wikidata.org/wiki/Q1060991,Chamorro people,
http://wikidata.org/wiki/Q1061,Gujarat,
http://wikidata.org/wiki/Q1061510,Egyptians,
http://wikidata.org/wiki/Q106416,Frisian people,
http://wikidata.org/wiki/Q1064662,Serbs of Bosnia and Herzegovina,
http://wikidata.org/wiki/Q1065371,Italian Brazilian,
http://wikidata.org/wiki/Q106713,Mestizo,
http://wikidata.org/wiki/Q106974,Ossetians,
http://wikidata.org/wiki/Q1071516,Chhetri,
http://wikidata.org/wiki/Q1072155,Chickahominy people,
http://wikidata.org/wiki/Q107434,Sioux,
http://wikidata.org/wiki/Q1075293,Irish American,
http://wikidata.org/wiki/Q1092654,Yellowknives,
http://wikidata.org/wiki/Q11190,medicine,
http://wikidata.org/wiki/Q11205140,European,
http://wikidata.org/wiki/Q1123923,Nez Perce people,
http://wikidata.org/wiki/Q1130350,Minangkabau people,
http://wikidata.org/wiki/Q1136195,Tejano,
http://wikidata.org/wiki/Q114,Kenya,
http://wikidata.org/wiki/Q1140588,Russian American,
http://wikidata.org/wiki/Q1143929,Kamba people,
http://wikidata.org/wiki/Q1144501,Gwich'in people,
http://wikidata.org/wiki/Q1146100,Chinese American,
http://wikidata.org/wiki/Q115026,Swedish American,
http://wikidata.org/wiki/Q1150312,Greek American,
http://wikidata.org/wiki/Q11506,Denpasar,
http://wikidata.org/wiki/Q115473,Hazara people,
http://wikidata.org/wiki/Q1156766,Japanese American,
http://wikidata.org/wiki/Q116971,Mohawk people,
http://wikidata.org/wiki/Q117,Ghana,
http://wikidata.org/wiki/Q1171,Goa,
http://wikidata.org/wiki/Q117133,Comanche,
http://wikidata.org/wiki/Q117244,Arawak peoples,
http://wikidata.org/wiki/Q11768,Ancient Egypt,
http://wikidata.org/wiki/Q118281,Kannada people,
http://wikidata.org/wiki/Q1183,Puerto Rico,
http://wikidata.org/wiki/Q1186,Kerala,
http://wikidata.org/wiki/Q1187403,Mongols in China,
http://wikidata.org/wiki/Q1189552,Polish American,
http://wikidata.org/wiki/Q1192750,Sonam Kapoor,
http://wikidata.org/wiki/Q1193808,Norwegian American,
http://wikidata.org/wiki/Q1195125,Cubans,
http://wikidata.org/wiki/Q1196649,Kashmiri people,
http://wikidata.org/wiki/Q12014472,Khuzestan Arabs,
http://wikidata.org/wiki/Q120601,Omaha people,
http://wikidata.org/wiki/Q12060728,Aboriginal Australians,
http://wikidata.org/wiki/Q1207351,Chinese Canadian,
http://wikidata.org/wiki/Q1208167,Ryukyuan people,
http://wikidata.org/wiki/Q1209676,Mexican people,
http://wikidata.org/wiki/Q1211934,Hispanic,
http://wikidata.org/wiki/Q1217927,Dutch Burghers,
http://wikidata.org/wiki/Q121842,French people,
http://wikidata.org/wiki/Q1219693,Jaga,
http://wikidata.org/wiki/Q12223,Kurdish people,
http://wikidata.org/wiki/Q1242155,Albanians in Kosovo,
http://wikidata.org/wiki/Q124216,Swiss people,
http://wikidata.org/wiki/Q1249914,Konkani people,
http://wikidata.org/wiki/Q1250849,Pākehā,
http://wikidata.org/wiki/Q1255534,Nair (Malayala kshatriya),
http://wikidata.org/wiki/Q1258074,Sindhi people,
http://wikidata.org/wiki/Q12585,Latin America,
http://wikidata.org/wiki/Q1259835,Serbians,
http://wikidata.org/wiki/Q1261144,Khasi people,
http://wikidata.org/wiki/Q1262400,Mende people,
http://wikidata.org/wiki/Q12644212,Muhajir people,
http://wikidata.org/wiki/Q1265028,Marathi people,
http://wikidata.org/wiki/Q126756,Basque people,
http://wikidata.org/wiki/Q1267758,Red Karen,
http://wikidata.org/wiki/Q1267849,Indo-Aryan peoples,
http://wikidata.org/wiki/Q1267987,Malayali,
http://wikidata.org/wiki/Q127041,Mangalore,
http://wikidata.org/wiki/Q1273334,Langi people,
http://wikidata.org/wiki/Q127885,Serbs,
http://wikidata.org/wiki/Q1280677,Serbs of Croatia,
http://wikidata.org/wiki/Q1281344,Teso people,
http://wikidata.org/wiki/Q1282294,Gujarati people,
http://wikidata.org/wiki/Q1282763,Tahitians,
http://wikidata.org/wiki/Q1283606,Native Hawaiians,
http://wikidata.org/wiki/Q1286876,Maltese people,
http://wikidata.org/wiki/Q1287427,Dogra,
http://wikidata.org/wiki/Q1287940,Assamese people,
http://wikidata.org/wiki/Q1290677,Meru people,
http://wikidata.org/wiki/Q12973097,Bani Aslam,
http://wikidata.org/wiki/Q1317388,Kokang,
http://wikidata.org/wiki/Q1318423,Australians,
http://wikidata.org/wiki/Q1318885,Thai,
http://wikidata.org/wiki/Q13219195,Banu Salmah,
http://wikidata.org/wiki/Q13219245,Asiam,
http://wikidata.org/wiki/Q1324889,Germiyanids,
http://wikidata.org/wiki/Q13269,Sivandi language,
http://wikidata.org/wiki/Q133032,Hungarian people,
http://wikidata.org/wiki/Q133255,Bulgarians,
http://wikidata.org/wiki/Q1344183,English American,
http://wikidata.org/wiki/Q1355420,Nambudiri,
http://wikidata.org/wiki/Q1359718,Hupa,
http://wikidata.org/wiki/Q1369944,French American,
http://wikidata.org/wiki/Q1375066,Pitjantjatjara people,
http://wikidata.org/wiki/Q1377716,Belgians,
http://wikidata.org/wiki/Q1378555,Mixed race,
http://wikidata.org/wiki/Q1408764,Circassia,
http://wikidata.org/wiki/Q14122225,British,
http://wikidata.org/wiki/Q1413685,Filipino American,
http://wikidata.org/wiki/Q1417088,Inupiat people,
http://wikidata.org/wiki/Q141817,German American,
http://wikidata.org/wiki/Q142,France,
http://wikidata.org/wiki/Q142702,Ethnic Malays,
http://wikidata.org/wiki/Q1434198,Yana people,
http://wikidata.org/wiki/Q145,United Kingdom,
http://wikidata.org/wiki/Q1453289,Alakozai,
http://wikidata.org/wiki/Q145665,Manchu,
http://wikidata.org/wiki/Q1464982,Ethnic groups in Europe,
http://wikidata.org/wiki/Q146521,Sorbs,
http://wikidata.org/wiki/Q1467740,Ottoman Greeks,
http://wikidata.org/wiki/Q1473943,Shapsugs,
http://wikidata.org/wiki/Q147401,Zapotec peoples,
