"HITID","qid","en_label","aggregate_group","Worker1","Answer1","Worker2","Answer2","Agreement","Answer","Date"
"362E9TQF2GPOBRAX4P9C21DDK73GII","http://wikidata.org/wiki/Q80040","Kazakhs","","A16G716K9428HM","Islamic","A1GKEEI844CEKI","Islamic","Yes","Islamic","Wed Oct 29 14:32:32 UTC 2014"
"31S7M7DAGFPU6X499S5WT0KUR55LTA","http://wikidata.org/wiki/Q83311","Persian Empire","","A1GKEEI844CEKI","Islamic","A3HSMUPSPOKD0M","Islamic","Yes","Islamic","Wed Oct 29 01:53:44 UTC 2014"
"3PR3LXCWSEY6MCCKP533DUE547D9XL","http://wikidata.org/wiki/Q794","Iran","","A2WNW8A4MOR7T7","Islamic","A3HSMUPSPOKD0M","Islamic","Yes","Islamic","Wed Oct 29 07:00:03 UTC 2014"
"3ATYLI1PRS18YFB1AQ7KJB1FO8JOJP","http://wikidata.org/wiki/Q843","Pakistan","","A1GKEEI844CEKI","Islamic","A2WNW8A4MOR7T7","Islamic","Yes","Islamic","Wed Oct 29 05:59:18 UTC 2014"
"34O39PNDK575D955EQB7FIN7RQUBR0","http://wikidata.org/wiki/Q796583","Kingdom of Kongo","","A1GKEEI844CEKI","Africa","A2WNW8A4MOR7T7","Africa","Yes","Africa","Wed Oct 29 04:58:13 UTC 2014"
"3LN3BXKGCZU6CMU2T6DR3SMLZI1WG5","http://wikidata.org/wiki/Q763","Saint Kitts and Nevis","","A2QH1BQA6GR48O","English-speaking","A3HSMUPSPOKD0M","English-speaking","Yes","English-speaking","Wed Oct 29 09:42:53 UTC 2014"
"3421H3BM99G5RS7V81O2ML6QT9XJ96","http://wikidata.org/wiki/Q810","Jordan","","A2BO8M77CS3SGZ","Islamic","A3HSMUPSPOKD0M","Islamic","Yes","Islamic","Wed Oct 29 03:39:16 UTC 2014"
"3RDTX9JRTX0C7X6T7SZ5JV1H2EY79O","http://wikidata.org/wiki/Q83891","Sassanid Empire","","A26L95RMC7I9TB","Islamic","A3HSMUPSPOKD0M","Islamic","Yes","Islamic","Wed Oct 29 05:54:58 UTC 2014"
"3IZVJEBJ69J89OA1SGOCQ53EM62Z6W","http://wikidata.org/wiki/Q805","Yemen","","A26L95RMC7I9TB","Islamic","A3HSMUPSPOKD0M","Islamic","Yes","Islamic","Wed Oct 29 02:23:23 UTC 2014"
"3DA79LNS58UDQTEK3M1WXEQDRJE3TE","http://wikidata.org/wiki/Q180568","New Kingdom","","A343DCRTGQUY30","Islamic","A3HSMUPSPOKD0M","Islamic","Yes","Islamic","Wed Oct 29 03:37:33 UTC 2014"
"3FJ2RVH25Y55LW9N1GIAN4K9RYB929","http://wikidata.org/wiki/Q8646","Hong Kong","","A2WNW8A4MOR7T7","Confucian","A3HSMUPSPOKD0M","Confucian","Yes","Confucian","Wed Oct 29 05:19:17 UTC 2014"
"3VQTAXTYN2KXT1XMIK6CKTARYPYBU4","http://wikidata.org/wiki/Q180393","Kingdom of the Two Sicilies","","A1GKEEI844CEKI","Catholic European","A3HSMUPSPOKD0M","Catholic European","Yes","Catholic European","Wed Oct 29 12:59:06 UTC 2014"
"3THR0FZ95OSET5Z1DBJXZQE7SXOOLR","http://wikidata.org/wiki/Q865","Republic of China","","A2WNW8A4MOR7T7","Confucian","AHZK68L2UCA70","Confucian","Yes","Confucian","Wed Oct 29 01:46:05 UTC 2014"
"33J5JKFMK5X0YDMSMI71S9FQ7CF3Q0","http://wikidata.org/wiki/Q814959","Beiyang Government","","A2BO8M77CS3SGZ","Confucian","A3HSMUPSPOKD0M","Confucian","Yes","Confucian","Wed Oct 29 03:35:43 UTC 2014"
"359AP8GAGFJE5VDWJC9WLL2P8Z17C5","http://wikidata.org/wiki/Q945","Togo","","A3HSMUPSPOKD0M","Africa","A3HZT1JQU1PFB8","Africa","Yes","Africa","Wed Oct 29 04:26:19 UTC 2014"
"3MGHRFQY2KODQNEHU56C3XKL39C0Y5","http://wikidata.org/wiki/Q797907","Cops","","A2J843CHDXF45T","English-speaking","A2QH1BQA6GR48O","English-speaking","Yes","English-speaking","Wed Oct 29 09:43:56 UTC 2014"
"33TGB4G0LOGP6RLYNB8K4UFHYEFTX4","http://wikidata.org/wiki/Q204481","far-right","","A2WNW8A4MOR7T7","English-speaking","A3HSMUPSPOKD0M","English-speaking","Yes","English-speaking","Wed Oct 29 04:53:01 UTC 2014"
"3X878VYTIDHL87X6AEZXTRNS5CT7FG","http://wikidata.org/wiki/Q9903","Ming dynasty","","A2QH1BQA6GR48O","Confucian","A3HSMUPSPOKD0M","Confucian","Yes","Confucian","Wed Oct 29 10:06:18 UTC 2014"
