,nm_perc,total,log(total) * nm_perc
Abkhazia,0.125,16,0.34657359027997264
Afghanistan,0.12595419847328249,262,0.7013563687943368
Albania,0.1042830540037244,537,0.6555230787569766
Algeria,0.143658810325477,891,0.9757801197713396
Ancient Rome,0.4,5,0.6437751649736402
Andorra,0.17647058823529416,34,0.6222989161087346
Angola,0.12698412698412698,189,0.6656186685790022
Antigua and Barbuda,0.13636363636363635,22,0.4215057890943158
Argentina,0.1171875,4352,0.9818426705315365
Armenia,0.076162215628091,1011,0.5269431571360794
Aruba,0.1428571428571429,7,0.27798716415075914
Australia,0.23158828748890858,5635,2.0001707039127608
Austria,0.1301501396648045,11456,1.2164182012742528
Austria-Hungary,0.04761904761904767,105,0.22161715953131086
Azerbaijan,0.11856368563685638,1476,0.865170003999372
Bahrain,0.2857142857142857,35,1.015813731854118
Bangladesh,0.15979381443298968,388,0.952531781073822
Barbados,0.16666666666666663,54,0.664830674427379
Belarus,0.15548281505728312,3055,1.2476772713625874
Belgium,0.11991553678595246,8998,1.0918018960373204
Belize,0.18181818181818177,22,0.562007718792421
Benin,0.037735849056603765,53,0.1498223363604574
Bermuda,0.33333333333333337,3,0.3662040962227033
Bhutan,0.19999999999999996,15,0.5416100402204419
Bolivia,0.06727828746177367,327,0.3895386047698456
Bosnia and Herzegovina,0.11075268817204298,930,0.7570150670679267
Botswana,0.17500000000000004,40,0.645553904469939
Brazil,0.165758896151053,5508,1.4278399805812856
British Raj,1.0,1,0.0
Brunei,0.25,16,0.6931471805599453
Bulgaria,0.17198838896952107,1378,1.2431988846320352
Burkina Faso,0.03296703296703296,91,0.148709654060995
Burma,0.2018348623853211,218,1.0867788200124766
Burundi,0.023809523809523836,42,0.08899213376865173
Cambodia,0.2028985507246377,69,0.8590940733965455
Cameroon,0.06857142857142862,350,0.401686844878866
Canada,0.21746604779095757,11634,2.035849099614139
Cape Verde,0.04109589041095896,73,0.1763202510060985
Central African Republic,0.04878048780487809,41,0.18114985691240543
Chad,0.19047619047619047,21,0.5799090357568425
Chile,0.1741214057507987,1252,1.2419205002091769
Classical Athens,0.02631578947368418,38,0.09572595157174689
Colombia,0.1625135427952329,923,1.1095822157913624
Comoros,0.0,4,0.0
Costa Rica,0.0640394088669951,203,0.34025457008642
Croatia,0.13176668065463704,2383,1.0246329248044503
Cuba,0.21101871101871106,962,1.449490575348377

Dominican Republic,0.220238095238,336,1.28114948166
East Germany,0.404761904762,42,1.51286627407
Ecuador,0.116352201258,318,0.670427362147
Egypt,0.177227722772,1010,1.22600921204
El Salvador,0.107913669065,139,0.532497187028
Equatorial Guinea,0.0,14,0.0
Eritrea,0.148148148148,54,0.590960599491
Estonia,0.124269005848,1368,0.897359551675
Ethiopia,0.269736842105,152,1.35512566681
Faroe Islands,0.0546875,128,0.265345405058
Federated States of Micronesia,0.0,4,0.0
Fiji,0.116279069767,43,0.437348850662
Finland,0.173895419538,2467,1.35825505958
France,0.121336571958,62578,1.34006161358
Gabon,0.0666666666667,60,0.272956304148
Gambia,0.0526315789474,57,0.212792171991
Georgia,0.128911138924,1598,0.950914063844
German Empire,0.0,1,0.0
Germany,0.100488247985,79263,1.13356036605
Ghana,0.0529595015576,321,0.30565264515
Greece,0.167068625301,4561,1.40760281707
Greenland,0.25,20,0.748933068388
Grenada,0.230769230769,13,0.591911390183
Guatemala,0.0928571428571,140,0.458866796385
Guinea,0.0281690140845,71,0.120075489494
Guinea-Bissau,0.0425531914894,47,0.163836068158
Guyana,0.05,60,0.204717228111
Haiti,0.100591715976,169,0.516025314519
Honduras,0.0588235294118,204,0.312830587873
Hungary,0.168800931315,3436,1.37438786502
Iceland,0.15015015015,333,0.872093466964
India,0.234911926076,6926,2.07733502433
Indonesia,0.238805970149,670,1.55397676714
Iran,0.238892094634,1733,1.78156390418
Iraq,0.0540540540541,444,0.329504030402
Ireland,0.0,2,0.0
Israel,0.200311769291,1283,1.43362259213
Italy,0.116025256819,71743,1.29726047847
Jamaica,0.223713646532,447,1.36522563638
Japan,0.321201814059,8820,2.91804690058
Jordan,0.113924050633,79,0.497785198382
Kazakhstan,0.176644493718,1353,1.27362086558
Kenya,0.279761904762,168,1.43348992281
Kingdom of Denmark,0.323144104803,229,1.75587523259
Kingdom of England,0.0,3,0.0
Kingdom of Hanover,0.0,2,0.0
Kingdom of Hungary,0.0,1,0.0
Kingdom of Jerusalem,0.0,1,0.0
Kingdom of Kartli-Kakheti,0.0,1,0.0
Kingdom of the Netherlands,0.172727272727,220,0.931626576188
Kiribati,0.0,6,0.0
Korea,0.157894736842,19,0.464911417763
Kosovo,0.147826086957,115,0.70142474941
Kuwait,0.106666666667,75,0.460532065444
Kyrgyzstan,0.17037037037,135,0.835713480771
Laos,0.0350877192982,57,0.141861447994
Latvia,0.164333851737,1929,1.24314565738
Lebanon,0.147058823529,442,0.895780865011
Lesotho,0.176470588235,17,0.499978825422
Liberia,0.171428571429,70,0.728313470066
Libya,0.103448275862,203,0.549641997832
Liechtenstein,0.08,75,0.345399049083
Lithuania,0.16,1425,1.16190833483
London,0.152173913043,46,0.582619342944
Luxembourg,0.114379084967,306,0.654658426694
Madagascar,0.118421052632,76,0.512850000823
Malawi,0.125,48,0.483900126363
Malaysia,0.292899408284,338,1.7055666972
Maldives,0.117647058824,17,0.333319216948
Mali,0.0805369127517,149,0.403002387056
Malta,0.087786259542,262,0.488824135826
Marshall Islands,0.0909090909091,11,0.217990479345
Mauritania,0.0,31,0.0
Mauritius,0.285714285714,42,1.06790560522
Mexico,0.176167582418,2912,1.40521752918
Moldova,0.157593123209,698,1.03195429986
Monaco,0.197368421053,76,0.854750001372
Mongolia,0.151898734177,79,0.663713597843
Montenegro,0.13164556962,395,0.787093822215
Morocco,0.119212962963,864,0.806067124059
Mozambique,0.162162162162,74,0.697956501601
Namibia,0.122222222222,90,0.549976737485
Nauru,0.117647058824,17,0.333319216948
Nazi Germany,0.0,1,0.0
Nepal,0.309523809524,126,1.49694439977
Netherlands,0.155078072868,7493,1.38356384683
New Netherland,0.0,1,0.0
New Zealand,0.189481268012,1388,1.3710142897
Nicaragua,0.21186440678,118,1.0107382679
Niger,0.0204081632653,49,0.0794249040431
Nigeria,0.12641815235,617,0.812220071093
Niue,0.0,6,0.0
North Korea,0.158415841584,101,0.731108200688
Norway,0.16502994012,4175,1.37583309703
Oman,0.208333333333,24,0.662094547989
Ottoman Empire,0.140142517815,421,0.846829779542
Pakistan,0.214709371293,843,1.44648993997
Palau,0.142857142857,7,0.277987164151
Panama,0.182926829268,164,0.932902395334
Papua New Guinea,0.238095238095,21,0.724886294696
Paraguay,0.0552884615385,416,0.333427310063
People's Republic of China,0.256570302234,3044,2.05793184906
Peru,0.120358514725,781,0.801656932247
Philippines,0.341810022438,1337,2.46041129
Poland,0.130217302173,12195,1.22518611901
Portugal,0.124119241192,1845,0.933405806739
Prussia,0.0909090909091,726,0.598868183166
Puerto Rico,0.142857142857,28,0.476029215739
Puto,1.0,1,0.0
Qatar,0.047619047619,63,0.197292129828
Republic of China,0.411971830986,284,2.32721826009
Republic of Ireland,0.138009787928,3065,1.10791536863
Republic of Macedonia,0.0772946859903,414,0.465767418267
Republic of the Congo,0.0625,48,0.241950063182
Roman Empire,0.0,6,0.0
Romania,0.170769831966,2559,1.34009436983
Russia,0.170355883486,33747,1.776240628
Russian Empire,0.0572916666667,192,0.301210672356
Rwanda,0.15625,32,0.541521234812
Saint Kitts and Nevis,0.111111111111,27,0.366204096223
Saint Lucia,0.263157894737,19,0.774852362939
Saint Vincent and the Grenadines,0.142857142857,14,0.377008189945
Samoa,0.0540540540541,37,0.195184752035
San Marino,0.0909090909091,121,0.435980958691
