EconomyScore WIGI,EconomyRank WIGI,Rank,Score SIGI,Rank SIGI,Score GDI,Rank GDI,Score GEI,Rank GEI,Score GGGI,Rank GGGI
Republic of China,0.356890459364,1.0,,,,,,,,
Kingdom of Denmark,0.347826086957,2.0,,,,,,,,
Sweden,0.345211581292,3.0,,,1.004,6,87.0,2.0,0.8165,4.0
South Korea,0.343661971831,4.0,,,,,,,0.6403,117.0
Hong Kong,0.342857142857,5.0,,,,,,,,
Philippines,0.322784810127,6.0,0.8235,57.0,0.989,17,76.0,26.0,0.7814,9.0
Bahrain,0.317073170732,7.0,,,0.961,66,54.0,115.0,0.6261,124.0
East Germany,0.303482587065,8.0,,,,,,,,
Mauritius,0.294117647059,9.0,,,0.957,72,67.0,70.0,0.6541,106.0
People's Republic of China,0.28125,10.0,0.869,41.0,,,,,0.683,87.0
Australia,0.276007284316,11.0,,,0.975,40,80.0,9.0,0.7409,24.0
Japan,0.273171358786,12.0,,,0.951,79,57.0,105.0,0.6584,104.0
Nicaragua,0.272727272727,13.0,0.8405,53.0,0.912,102,74.0,37.0,0.7894,6.0
Indonesia,0.258986175115,14.0,0.8468,52.0,0.923,98,62.0,90.0,0.6725,97.0
Mexico,0.254138266796,15.0,,,0.940,85,64.0,77.0,0.69,80.0
United States of America,0.247312260598,16.0,,,,,72.0,51.0,0.7463,20.0
Venezuela,0.24504950495,17.0,0.9611,16.0,,,64.0,77.0,0.6851,86.0
Turkish Republic of Northern Cyprus,0.2375,18.0,,,,,,,,
Dominican Republic,0.234200743494,19.0,0.9633,14.0,,,72.0,51.0,0.6906,78.0
Ethiopia,0.230769230769,20.0,0.755,63.0,0.853,126,44.0,133.0,0.6144,127.0
Jamaica,0.228291316527,21.0,0.865,45.0,0.989,17,63.0,84.0,0.7128,52.0
Kosovo,0.225806451613,22.0,,,,,,,,
New Zealand,0.222478829869,23.0,,,0.971,47,82.0,5.0,0.7772,13.0
Kenya,0.216374269006,24.0,,,0.908,107,58.0,103.0,0.7258,37.0
Denmark,0.214941569282,25.0,,,0.989,17,84.0,4.0,0.8025,5.0
United Kingdom,0.214341968912,26.0,,,0.993,13,76.0,26.0,0.7383,26.0
Norway,0.214189456996,27.0,,,0.997,5,,,0.8374,3.0
Eritrea,0.212121212121,28.0,,,,,44.0,133.0,,
Russian Soviet Federative Socialist Republic,0.209677419355,29.0,,,,,,,,
Nepal,0.2096069869,30.0,0.6771,80.0,0.912,102,47.0,127.0,0.6458,112.0
West Germany,0.205882352941,31.0,,,,,,,,
Kingdom of the Netherlands,0.204545454545,32.0,,,,,,,,
Romania,0.20059435364,33.0,0.9314,29.0,0.973,43,72.0,51.0,0.6936,72.0
Burma,0.198717948718,34.0,0.7065,74.0,,,,,,
Singapore,0.198675496689,35.0,,,0.967,52,69.0,64.0,0.7046,59.0
Poland,0.197162426614,36.0,,,1.010,14,76.0,26.0,0.7051,57.0
Saint Lucia,0.196721311475,37.0,,,,,,,,
Bulgaria,0.195566112431,38.0,0.9551,19.0,0.994,8,76.0,26.0,0.7444,22.0
Austria,0.194230435034,39.0,,,0.935,91,74.0,37.0,0.7266,36.0
Puerto Rico,0.191666666667,40.0,,,,,,,,
Uganda,0.191588785047,41.0,,,0.896,114,63.0,84.0,0.6821,88.0
Iceland,0.189509306261,42.0,,,0.982,30,87.0,2.0,0.8594,1.0
India,0.189376443418,43.0,0.735,69.0,0.828,132,37.0,143.0,0.6455,114.0
The Bahamas,0.189189189189,44.0,,,,,,,0.7269,35.0
Netherlands,0.188423201633,45.0,,,0.968,51,79.0,12.0,0.773,14.0
Israel,0.186399514268,46.0,,,0.984,29,75.0,31.0,0.7005,65.0
Serbia,0.184931506849,47.0,0.9903,5.0,,,75.0,31.0,0.7086,54.0
Russia,0.184039608177,48.0,,,,,,,0.6927,75.0
Cuba,0.183381088825,49.0,0.9792,8.0,0.962,61,68.0,68.0,0.7317,30.0
Socialist Federal Republic of Yugoslavia,0.181818181818,50.0,,,,,,,,
Finland,0.180746023039,51.0,,,1.006,8,88.0,1.0,0.8453,2.0
Hungary,0.180616740088,52.0,,,0.998,4,73.0,43.0,0.6759,93.0
Slovakia,0.178813559322,53.0,,,1.000,1,73.0,43.0,0.6806,90.0
Greece,0.177548682703,54.0,,,0.959,69,72.0,51.0,0.6784,91.0
Zimbabwe,0.177419354839,55.0,0.8608,47.0,0.909,105,55.0,112.0,0.7013,63.0
Somalia,0.175757575758,56.0,0.5406,91.0,,,,,,
Estonia,0.175370728562,57.0,,,1.042,70,77.0,19.0,0.7017,62.0
Belarus,0.175,58.0,0.9664,12.0,1.021,32,64.0,77.0,0.73,32.0
Angola,0.174157303371,59.0,0.8281,56.0,,,64.0,77.0,0.6311,121.0
Germany,0.173236278271,60.0,,,0.962,61,80.0,9.0,0.778,12.0
Moldova,0.171111111111,61.0,0.9336,28.0,,,77.0,19.0,0.7405,25.0
Switzerland,0.170604117449,62.0,,,0.953,76,79.0,12.0,0.7798,11.0
Thailand,0.170243204578,63.0,0.8944,37.0,0.990,14,71.0,56.0,0.7027,61.0
Liberia,0.170212765957,64.0,,,0.786,140,56.0,108.0,0.6461,111.0
Pakistan,0.169863013699,65.0,0.6987,76.0,0.750,145,29.0,148.0,0.5522,141.0
Kingdom of Yugoslavia,0.169491525424,66.0,,,,,,,,
France,0.168798353695,67.0,0.9966,2.0,0.989,17,77.0,19.0,0.7588,16.0
Slovenia,0.167396061269,68.0,0.9963,3.0,1.006,8,75.0,31.0,0.7443,23.0
Uzbekistan,0.165450121655,69.0,0.8525,51.0,0.945,82,57.0,105.0,,
Canada,0.164509372147,70.0,,,0.986,24,80.0,9.0,0.7464,19.0
Kazakhstan,0.164179104478,71.0,0.8804,40.0,1.015,25,75.0,31.0,0.721,43.0
Czech Republic,0.163968547641,72.0,0.9717,10.0,0.969,49,73.0,43.0,0.6737,96.0
Belgium,0.163734290844,73.0,0.9984,1.0,0.977,38,79.0,12.0,0.7809,10.0
Malaysia,0.162219850587,74.0,,,0.935,91,56.0,108.0,0.652,107.0
Lithuania,0.161971830986,75.0,0.9576,18.0,1.036,58,77.0,19.0,0.7208,44.0
Liechtenstein,0.159817351598,76.0,,,,,,,,
Turkey,0.159554730983,77.0,0.8968,35.0,0.884,118,45.0,130.0,0.6183,125.0
Egypt,0.159406858202,78.0,0.572,88.0,0.855,125,45.0,130.0,0.6064,129.0
South Africa,0.15938130464,79.0,0.9401,27.0,,,79.0,12.0,0.7527,18.0
Ireland,0.1585565883,80.0,,,0.965,56,74.0,37.0,0.785,8.0
Czechoslovakia,0.158110882957,81.0,,,,,,,,
Latvia,0.157622739018,82.0,0.9489,24.0,1.033,52,77.0,19.0,0.7691,15.0
Croatia,0.157558552165,83.0,,,0.987,22,74.0,37.0,0.7075,55.0
Portugal,0.157154026583,84.0,,,0.970,48,77.0,19.0,0.7243,39.0
Soviet Union,0.156331915259,85.0,,,,,,,,
Brazil,0.15391992328,86.0,0.9542,20.0,,,72.0,51.0,0.6941,71.0
Kyrgyzstan,0.153284671533,87.0,0.8402,54.0,0.976,39,73.0,43.0,0.6974,67.0
Spain,0.153266658008,88.0,0.9951,4.0,0.985,25,81.0,6.0,0.7325,29.0
Jordan,0.153225806452,89.0,0.6881,77.0,0.842,130,49.0,122.0,0.5968,134.0
Bangladesh,0.153024911032,90.0,0.61,82.0,0.908,107,55.0,112.0,0.6973,68.0
Chile,0.151618398637,91.0,,,0.962,61,72.0,51.0,0.6975,66.0
Lebanon,0.150141643059,92.0,0.7103,73.0,0.900,110,55.0,112.0,0.5923,135.0
Colombia,0.149635036496,93.0,0.9138,32.0,0.972,46,64.0,77.0,0.7122,53.0
Ukraine,0.148576512456,94.0,0.925,30.0,1.012,21,69.0,64.0,0.7056,56.0
Italy,0.146273206567,95.0,0.9884,7.0,0.962,61,70.0,59.0,0.6973,69.0
Vietnam,0.143410852713,96.0,0.8135,59.0,,,,,0.6915,76.0
Peru,0.142322097378,97.0,0.9174,31.0,0.957,72,69.0,64.0,0.7198,45.0
Mozambique,0.138461538462,98.0,0.8625,46.0,0.879,120,58.0,103.0,0.737,27.0
Trinidad and Tobago,0.137254901961,99.0,0.9764,9.0,0.994,8,78.0,15.0,0.7154,49.0
Argentina,0.136049723757,100.0,0.9893,6.0,1.001,2,74.0,37.0,0.7317,31.0
Luxembourg,0.135271807838,101.0,,,0.961,66,68.0,68.0,0.7333,28.0
Monaco,0.135135135135,102.0,,,,,,,,
Panama,0.134328358209,103.0,0.9625,15.0,0.978,36,76.0,26.0,0.7195,46.0
Tanzania,0.13353115727,104.0,0.7496,65.0,,,60.0,96.0,0.7182,47.0
North Korea,0.130718954248,105.0,,,,,,,,
Mongolia,0.130434782609,106.0,0.9655,13.0,1.021,32,81.0,6.0,0.7212,42.0
Russian Empire,0.129635816906,107.0,,,,,,,,
Nigeria,0.128934010152,108.0,0.6089,83.0,0.839,131,,,0.6391,118.0
Suriname,0.128571428571,109.0,,,0.974,41,,,0.6504,109.0
Palestine,0.125,110.0,,,,,,,,
Georgia,0.123799359658,111.0,,,0.941,84,67.0,70.0,0.6855,85.0
Tunisia,0.122123893805,112.0,,,0.891,116,,,0.6272,123.0
Sri Lanka,0.122047244094,113.0,0.8106,60.0,0.961,66,62.0,90.0,0.6903,79.0
Botswana,0.121212121212,114.0,,,0.964,58,73.0,43.0,0.7129,51.0
Azerbaijan,0.120352250489,115.0,0.7597,61.0,0.952,77,64.0,77.0,0.6753,94.0
Guyana,0.12,116.0,,,0.985,25,64.0,77.0,0.701,64.0
China,0.115384615385,117.0,,,0.939,88,64.0,77.0,,
Montenegro,0.115241635688,118.0,,,,,,,0.6934,74.0
Afghanistan,0.112612612613,119.0,0.6776,79.0,0.602,148,15.0,153.0,,
Tajikistan,0.112244897959,120.0,0.8607,48.0,0.952,77,51.0,117.0,0.6654,102.0
Burundi,0.111111111111,121.0,0.8338,55.0,0.904,109,69.0,64.0,0.7565,17.0
Iran,0.109116674539,122.0,,,,,51.0,117.0,0.5811,137.0
Ecuador,0.107558139535,123.0,0.9578,17.0,,,71.0,56.0,0.7455,21.0
England,0.1059972106,124.0,,,,,,,,
Mali,0.104895104895,125.0,0.4836,93.0,0.771,143,32.0,146.0,0.5779,138.0
Turkmenistan,0.104347826087,126.0,,,,,62.0,90.0,,
El Salvador,0.103703703704,127.0,0.951,22.0,0.965,56,62.0,90.0,0.6863,84.0
Byelorussian Soviet Socialist Republic,0.103448275862,128.0,,,,,,,,
