,qid,dob,dod,name,text
102,Q2494,1927.0,,Pope Benedict XVI,"Pope Benedict XVI (; born Joseph Aloisius Ratzinger; ; on 16 April 1927) was pope of the Catholic Church, having served from 2005 until his resignation in 2013. Benedict was elected on 19 April 2005 i"
104,Q2518,1930.0,,Helmut Kohl,Helmut Josef Michael Kohl (; born 3 April 1930) is a German conservative politician and statesman. He served as Chancellor of Germany from 1982 to 1998 (of West Germany 1982–90 and of the reunited Ger
266,Q7339,1926.0,1945.0,Margot Frank,"Margot Betti Frank (16 February 1926 – early March 1945) was the elder daughter of Otto and Edith Frank, and the older sister of Anne Frank, whose deportation order from the Gestapo hastened the Frank"
1309,Q39301,1933.0,1992.0,Wilfried Dietrich,"Wilfried Dietrich (October 14, 1933 – June 3, 1992) was a German wrestler, Olympic Champion in freestyle wrestling, Olympic silver medalist in Greco-Roman wrestling, winner of a total of five Olympic "
1546,Q44286,1929.0,2011.0,Rudolf Mössbauer,Rudolf Ludwig Mössbauer (German spelling: Mößbauer; 31 January 1929 – 14 September 2011 Münchner Physik-Nobelpreisträger Mößbauer ist tot – München. Bild.de (2011-09-21). Retrieved on 2012-06-26.) was
1606,Q44801,1926.0,2011.0,Peter Alexander (Austrian performer),"Peter Alexander Ferdinand Maximilian Neumayer (30 June 1926 – 12 February 2011), commonly known as Peter Alexander, was an Austrian actor, singer and entertainer. His fame emerged in the 1950s and 196"
1680,Q45542,1926.0,1997.0,Helmut Fischer,"Helmut Fischer (15 November 1926 – 14 June 1997) was a popular award winning German actor.

Life
Helmut Fischer was the son of a businessman and a tailor and grew up in the Munich district of Neuhause"
2162,Q56230,1930.0,,Rainer Baumann (footballer),"Rainer Baumann (born January 21, 1930) is a German former footballer.

External links
International record

Category:1930 births
Category:Living people
Category:German footballers
Category:East German"
2535,Q60539,1933.0,2003.0,Horst Buchholz,"Horst Werner Buchholz (4 December 1933 – 3 March 2003) was a German actor, best known in English-speaking countries for his roles in The Magnificent Seven, in which he played Chico,""Horst Buchholz wil"
2567,Q60777,1934.0,1994.0,Manfred Wörner,Manfred Hermann Wörner (24 September 1934 in Stuttgart-Bad Cannstatt – 13 August 1994 in Brussels) was a German politician and diplomat. He served as the defense minister of West Germany between 1982 
