,text,name
Q1000015,"Florian Jahr (* 23. Juni 1983 in Berlin) ist ein deutscher Schauspieler.  Florian Jahr wurde als Sohn eines Ingenieurs in Ost-Berlin geboren, wuchs aber in Rendsburg, Schleswig-Holstein auf. Bereits w",Florian Jahr
Q1000190,Christoph Behr (* 21. März 1989 in Vilshofen) ist ein deutscher Fußballspieler und steht aktuell im Aufgebot des Bezirksligisten FC Alkofen.    Karriere  Christoph Behr stammt aus dem niederbayerische,Christoph Behr
Q1000509,"George ""Bud"" Holloway III.. known as Bud Holloway (born March 1, 1988) is a Canadian professional ice hockey right wing who is currently playing for Skellefteå AIK in the Swedish Hockey League (SHL)..",Bud Holloway
Q100063,{{Infobox Skilangläufer  | kurzname = Ragnhild Haga | bild =  | langname =  | nation =  | geburtstag = 	12. Februar 1991 | geburtsort =  | geburtsland =  | groesse =  | gewicht =  | beruf =  | sterbed,Ragnhild Haga
Q100296,"Patrick Kohlmann (born 25 February 1983 in Dortmund, Germany) is a German-Irish football player who plays for Holstein Kiel.  Career Born in Dortmund to a German father and Irish mother, Kohlmann bega",Patrick Kohlmann
Q1003495,"Bulat Rawilewitsch Schawalejew (; * 19. September 1992 in Kasan) ist ein russischer Eishockeyspieler, der seit 2011 bei Ak Bars Kasan in der Kontinentalen Hockey-Liga unter Vertrag steht.         Karr",Bulat Rawilewitsch Schawalejew
Q100415,"Saralisa Volm (born June 24, 1985 in Hechingen, Germany) is a German actress, famous, among other things for her starring role in Finale, a film by Klaus Lemke. Volm grew up in Freising, where she als",Saralisa Volm
Q10091,"Janica Kostelić (; born 5 January 1982) is a former World Cup alpine ski racer and four-time Olympic gold medalist from Croatia. In addition to the Olympics, she won five gold medals at the World Cham",Janica Kostelić
Q100917,{{Infobox Skispringer  | kurzname = Heidi Roth | bild =  | langname =  | nation =  | geburtstag = 11. Oktober 1984 | geburtsort = Wangen im Allgäu | geburtsland =  | groesse = 163 | gewicht = 45 | ber,Heidi Roth
Q1016653,Ochirbatyn Burmaa is a Mongolian freestyle wrestler. She competed in the freestyle 72 kg event at the 2012 Summer Olympics; she defeated Leah Callahan in the 1/8 finals and was eliminated by Maider Un,Ochirbatyn Burmaa
Q101672,"Kristin Kasperski (* 1. Juni 1986 in Berlin) ist eine deutsche Volleyballspielerin.  Kristin Kasperski spielte zunächst in ihrer Heimatstadt für Innova Berlin, den Marzahner SV, den VC 68 und für den ",Kristin Kasperski
Q101840,"miniatur|Franz Dinda (2010) Franz Alexander Dinda (* 25. März 1983 in Jena, DDR) ist ein deutscher Schauspieler und Autor.   Leben   Kurz vor der Wende flüchtete Dinda gemeinsam mit seiner Mutter, ein",Franz Dinda
Q1018591,"Byron John Bitz (born July 21, 1984) is a Canadian professional ice hockey winger who is currently a free agent. He last played with the Vancouver Canucks organization of the National Hockey League (N",Byron Bitz
