,text,name
Q10132,"Rafael ""Rafa"" Nadal Parera (, ; born 3 June 1986) is a Spanish professional tennis player currently ranked world No. 3.http://www.atpworldtour.com/Rankings/Singles.aspx He is widely regarded as the fi",Rafael Nadal
Q102098,"Moon Geun-young (born May 6, 1987) is a South Korean actress. Affectionately called ""the nation's little sister,"" Moon began modeling at the age of 12, then made her acting debut in 1999 as a child ac",Moon Geun-young
Q1021999," is a Japanese gravure idol, tarento artist and actress currently affiliated to the A-Team Entertainment Production Agency.   Career   April 2004 - Graduates Sendai Vocational School and moves to the ",Yuriko Shiratori
Q1022015," (born December 28, 1986, in Osaka Prefecture, Japan) is the female lead singer of Jyukai, a Japanese pop/soft rock group.   Biography  At an early age, she aspired to be a singer. While she was an el",Manami Watanabe
Q1022017,", born on July 9, 1987 in Nagano Prefecture, is a Japanese actor, songwriter, singer, dancer and model. He is best known for his roles as Shusuke Fuji of the fourth generation Seigaku cast in The Prin",Yūta Furukawa
Q1022020," is a Japanese actor, best known for the role of Takeshi Momoshiro of the fourth generation Seigaku cast in The Prince of Tennis musical series, Tenimyu. Makita is affiliated with the acting unit D-BO",Tetsuya Makita
Q1022039," is a Japanese hip-hop musician and songwriter. He is best known for his collaborations with singer Thelma Aoyama, ""Koko ni Iru yo"" and ""Soba ni Iru ne"" - the latter of which was the former Guinness W",SoulJa
Q1031361,"Rosalba Géraldine Bazán Ortíz (born January 30, 1983)http://www.imdb.com/name/nm0063387/bio is a Mexican actress, singer, and anchorwoman currently living in Miami. She's part of Women Fair, Amigos fo",Géraldine Bazán
Q1036673,Si  Kazumi Urano  ay isang artista sa bansang Hapon.  Kaurian:Mga artista ng bansang Hapon,Kazumi Urano
Q1038579," is a Japanese pop female singer-songwriter currently signed on unBORDE Records, a division of Warner Music Group Japan.   Biography  Anri Kumaki started writing songs when she was 17 years old and wo",Anri Kumaki
Q1039583, is a Japanese actress who is represented by the Japanese agency Amuse.  Career Yoshitaka made her acting debut in 2006. She was given the lead role in the live-action adaptation of Hitomi Kanehara's ,Yuriko Yoshitaka
Q1039622," is a Japanese actress, model and TV personality who has had a number of supporting roles in films and television dramas.  On November 11, 2007, she married Yu Darvish. The two chose the 11/11 date, b",Saeko
Q1039639, is a Japanese actress.   Career Ikewaki was given a Best New Talent award at the 2000 Yokohama Film Festival for her performance in Osaka Story.  She appeared in Kiyoshi Kurosawa's 2012 television dr,Chizuru Ikewaki
Q1040452," (born October 11, 1990) is a Japanese singer-songwriter signed to Avex Trax. Born and raised in Osaka, Okumura started to write lyrics and compose music at the age of five after attending music compe",Hatsune Okumura
Q1041015, is a Japanese actor who starred in Kwak Jae-young's film Cyborg Shehttp://www.cinematoday.jp/page/A0001773http://www.cinemacafe.net/news/cgi/interview/2008/05/4026/ and in Koizora.  Filmography  Film,Keisuke Koide
Q1041260,Si  Takahiro Nishijima  ay isang artista sa bansang Hapon.   Kaurian:Mga artista ng bansang Hapon,Takahiro Nishijima
Q1041271," (born October 30, 1981 in Kobe, Hyōgo Prefecture, Japan),Honolulu Star-Bulletin Features currently known by her stage name as Ayaka Nagate (長手 絢香), is an actress currently signed to Tristone Entertai",Ayaka Kimura
Q1041708," is a Japanese actress and singer.   History  Nao was born in Ikoma, Nara on 8 February 1985 and grew up in Kawanishi, Hyōgo. Winning Japan's Elite Model Look started her modeling career in earnest. S",Nao Matsushita
Q1041719," is a Japanese voice actress and singer with RAMS/evolution.  She is from Saitama Prefecture, Japan.  She received training from the  and RAMS Professional Education. She made her debut as a voice act",Tomoe Ohmi
Q1041723," is a Japanese actress and idol.  Career Uchiyama was first discovered in her hometown in Kanagawa Prefecture by the talent agency Sweet Power at the age of 15. She was signed up by the agency, and in",Rina Uchiyama
Q1041758," is a Japanese actress and model.  Around 2003, a video of her bathing at an onsen (hot spring) surfaced on the internet. It was taken with a hidden camera and is believed to have been a botched extor",Ai Kato
Q1041794," is a Japanese actress who has appeared in various films including Waterboys (2001), as well as appearing in two television programs in her native Japan, Waratte Iitomo and Itsumo futari de. Aya was b",Aya Hirayama
Q1041883, is a Japanese actress.  Biography Minamisawa starred in Akai Ito. She appeared in Junji Sakamoto's 2010 film Strangers in the City.  Filmography  Film  Walking My Life (2007)  Akai Ito (2008)  Yamaza,Nao Minamisawa
Q1042219," is a Japanese electronica artist, produced by Terukado Ōnishi. She debuted in August 2007 with ""Colorful Tokyo Sounds No. 9"" and released her debut album, Copy on September 3, 2008.Official website  ",Aira Mitsuki
Q1042452," is a Japanese idol, singer, actor and radio host. He is a member of Japanese male idol group Kanjani Eight, which is under the management of Johnny & Associates. He is also the group's bassist and on",Ryuhei Maruyama
Q1042884," (born 10 February 1987) is a Japanese actor.  Career When Ishida was fifteen, he auditioned in the Junon Superboy Contest for New Actors and won the Photogenic Award.  Acting agencies began expressin",Takuya Ishida
Q1042970, is an actress in Japan. She has won the Grand Prix award at the Super Heroine Audition Miss Phoenix in 2005.  Filmography  Dramas   (2006)  - as Rieko Ishikawa (lead)   (2008) - as Nanase Hida (Tanak,Misako Renbutsu
Q1046966," is a Japanese actress. Higa's mother was a model. She graduated from Okinawa Prefectural Central High School. She got famous as an actress when she was selected in an audition of 2,156 people to star",Manami Higa
Q1046989," is a Japanese gravure idol. She is from Tokyo, and was a first year member (#7) of the idol group Idoling!!!. On December 11, 2011 it was announced that she would graduate from Idoling!!! on December",Erika Yazawa
Q1046994," is a female Japanese voice actress and singer from Yamaguchi, Japan. She works for Production Baobab.   Filmography    Anime   2007  Kimikiss Pure Rouge as Manami Hiba  2008  Bleach as Menoly Mallia ",Hitomi Harada
Q10479,"Catherine, Duchess of Cambridge (Catherine Elizabeth ""Kate""; née Middleton; born 9 January 1982), is the wife of Prince William, Duke of Cambridge. Following his father Charles, Prince of Wales, Willi","Catherine, Duchess of Cambridge"
Q1050164, is a Japanese actor.  Filmography Little DJ - Shuhei Yuki (2007) Boku tachi to chuzai san no 700 nichi senso - Inoue (2008) Gokusen: The Movie - Mochizuki Junpei (2009) Your Story - Toshio Katagiri (,Kento Kaku
Q10514,Fernando Alonso Díaz (born 29 July 1981) is a Spanish Formula One racing driver and a two-time World Champion who will be racing for McLaren-Honda in 2015.  Alonso started in karting from the age of 3,Fernando Alonso
Q1051891," (born October 17, 1992 in Izumi, Kagoshima) is a Japanese gravure idol, actress and singer who won ""Miss Magazine 2008"".   Filmography   Drama   Akai Ito (2008) as Sara Nakagawa  Tokyo Girls (2008)  ",Nanami Sakuraba
Q1051905," is a Japanese gravure idol. She is from Tokyo, and belongs to the show-business production Suns Entertainment. She belonged to Yellow Cab before 2004. She portrayed the hostess who became a nun named",Emi Kobayashi
Q1051915," is a Japanese actress and model. She was one of the original three members of the J-Pop group ""Dream"" (renamed DRM in 2007). She debuted as a gravure idol in 2004. She has also starred in a number of",Yu Hasebe
Q1054408," is a female Japanese singer-songwriter originally from Hyogo, Japan and now residing in Osaka. She is known for performing theme songs for OVAs of Utawarerumono and To Heart 2. She will be singing th",Rena Uehara
Q1054608," is a Japanese pop singer and idol.  Her career began in 2002 when she successfully auditioned for the Hello! Project Kids with 15 other girls, and was selected as one of the eight members of Berryz K",Momoko Tsugunaga
Q1054688," is a Japanese actress, gravure idol, and tarento from Tokyo. Her most notable appearances are in two Kamen Rider Series, namely Kamen Rider Agito and Kamen Rider Den-O. She also has a cameo appearanc",Rina Akiyama
Q1056274," is a Japanese gravure idol and actress. Her debut role was in Cutie Honey: The Live as the lead role of Honey Kisaragi/Cutie Honey.  According to Japanese company Oscar Promotion, Hara has worked in ",Mikie Hara
Q1059441," (born Igarashi Aya on November 22, 1983) is a Japanese actress, best known for her role in Kamen Rider Hibiki.  She is also known for her role  as The Mistress in the 2006 film Silk.  Filmography  Mo",Sei Ashina
Q1059711, is a Japanese actress and singer. Her given name Mei originates from her birth month (May) in English. She has been frequently featured in many Japanese dramas and films.  Filmography  (2005)  (2006),Mei Kurokawa
