,text,name
Q10132,"Rafael ""Rafa"" Nadal Parera (, ; born 3 June 1986) is a Spanish professional tennis player currently ranked world No. 3.http://www.atpworldtour.com/Rankings/Singles.aspx He is widely regarded as the fi",Rafael Nadal
Q10306497,"Jazmine Cashmere (born April 17, 1984 in Crest Hill, Illinois, United States) is a former American pornographic actress. She has appeared in over 100 adult films since starting in the adult film busin",Jazmine Cashmere
Q10514,Fernando Alonso Díaz (born 29 July 1981) is a Spanish Formula One racing driver and a two-time World Champion who will be racing for McLaren-Honda in 2015.  Alonso started in karting from the age of 3,Fernando Alonso
Q1059176,"Mehdi Abeid (born 6 August 1992) is an Algerian professional footballer who plays for English club Newcastle United as a midfielder.  Personal Abeid was born in Montreuil, Seine-Saint-Denis, France, t",Mehdi Abeid
Q1059427,"Shannon Woodward (born December 17, 1984) is an American actress known for playing Sabrina on Raising Hope and  Di Di Malloy on The Riches. She has been cast in the upcoming HBO series Westworld.  Ear",Shannon Woodward
Q1063412,"Ranbir Kapoor (; born 28 September 1982) is an Indian film actor. Through his successful career in Bollywood films, he has become one of the highest-paid actors and one of the most popular celebrities",Ranbir Kapoor
Q1085037,"Rimi Sen (born Shubhomitra Sen; 21 September 1981) is an Indian actress who appears in Bollywood films.  Biography Sen was born as Shubhomitra Sen in Kolkata, West Bengal. She completed her schooling ",Rimi Sen
Q1093330,میہو تاچیبانا (لاطینی: Miho Tachibana) ایک فحش اداکارہ ہے۔   متعلقہ روابط   فہرست فحش اداکارائیں  فحش فلم  فحش نگاری   حوالہ جات  زمرہ:نامکمل  زمرہ:جاپانی فحش اداکارائیں زمرہ:1988ء کی پیدائشیں زمرہ:بق,میہو تاچیبانا
Q10950087,"thumb|At a South Indian Film Festival thumb|At the inauguration of the movie 'Ajab Gajab Love' Nidhi Subbaiah () (born 16 February 1985) is an Indian film actress and model, who has appeared in variou",Nidhi Subbaiah
Q11056386,"Iisha Chaawla (born 6 March 1988, in Delhi) is an Indian film actress, appearing primarily in Telugu films. Chawla made her debut in Tollywood with Prema Kavali opposite Debutant Aadi under K. Vijay b",Isha Chawla
Q11303319,Shahana Goswami  (born 6 May 1986) is an Indian actress who works in the Indian Film Industry.  Early life Shahana Goswami was born in New Delhi to Bengali parents. She attended Sardar Patel Vidyalaya,Shahana Goswami
Q113581,"Thomas ""Tom"" Neuwirth (born 6 November 1988), better known by his drag stage persona Conchita Wurst, is an Austrian recording artist and drag queen. Wurst came to international attention when winning ",Conchita Wurst
Q1150316,"Anna Ragsdale Camp (born September 27, 1982) is an American actress. She is known for her role as Jill Mason in the 2008 Broadway revival of Equus and as Sarah Newlin in the second, sixth and seventh ",Anna Camp
Q1151944,"Mary-Kate Olsen (born June 13, 1986) is an American actress, fashion designer, producer, author, and businesswoman. She co-founded luxury fashion brands The Row, Elizabeth and James, and the more affo",Mary-Kate Olsen
Q115541,"Hannah Dakota Fanning (born February 23, 1994), known professionally as Dakota Fanning, is an American actress who rose to prominence after her breakthrough performance at age seven in the 2001 film I",Dakota Fanning
Q1155826," is a former singer for the Japanese idol girl group AKB48, and former adult video idol, using the name .  Career  AKB48 In 2005, Nakanishi dropped out of high school in Ōita Prefecture in order to au",Rina Nakanishi
