qid	english_name	culture_number
Q805	Yemen	3
Q159	Russia	2
Q711	Mongolia	1
Q183	Germany	7
Q30	United States of America	8
Q96	Mexico	9
Q142	France	6
Q739	Colombia	9
Q114	Kenya	9
Q212	Ukraine	2
Q39	Switzerland	6
Q38	Italy	6
Q668	India	4
Q40	Austria	6
Q145	United Kingdom	8
Q148	People's Republic of China	1
Q213	Czech Republic	6
Q227	Azerbaijan	2
Q29	Spain	6
Q408	Australia	8
Q215	Slovenia	6
Q222	Albania	2
Q16	Canada	8
Q854	Sri Lanka	4
Q794	Iran	3
Q298	Chile	9
Q31	Belgium	6
Q155	Brazil	9
Q129286	British Raj	4
Q717	Venezuela	9
Q27	Republic of Ireland	8
Q414	Argentina	9
Q17	Japan	1
Q948	Tunisia	3
Q218	Romania	2
Q217	Moldova	2
Q117	Ghana	5
Q252	Indonesia	3
Q20	Norway	7
Q36	Poland	6
Q403	Serbia	2
Q928	Philippines	4
Q801	Israel	2
Q733	Paraguay	9
Q34	Sweden	7
Q881	Vietnam	4
Q258	South Africa	5
Q41	Greece	2
Q191	Estonia	7
Q858	Syria	3
Q33	Finland	7
Q55	Netherlands	7
Q958	South Sudan	5
Q214	Slovakia	6
Q28	Hungary	6
Q750	Bolivia	9
Q225	Bosnia and Herzegovina	2
Q233	Malta	6
Q224	Croatia	6
Q262	Algeria	3
Q851	Saudi Arabia	3
Q37	Lithuania	7
Q35	Denmark	7
Q419	Peru	9
Q211	Latvia	2
Q399	Armenia	2
Q43	Turkey	3
Q1028	Morocco	3
Q683	Samoa	4
Q784	Dominica	9
Q219	Bulgaria	2
Q837	Nepal	4
Q1027	Mauritius	4
Q77	Uruguay	9
Q730	Suriname	5
Q843	Pakistan	3
Q921	Brunei	4
Q45	Portugal	6
Q1033	Nigeria	5
Q184	Belarus	2
Q691	Papua New Guinea	4
Q869	Thailand	4
Q783	Honduras	9
Q836	Burma	4
Q189	Iceland	7
Q865	Republic of China	1
Q230	Georgia	2
Q228	Andorra	6
Q833	Malaysia	4
Q983	Equatorial Guinea	5
Q986	Eritrea	5
Q863	Tajikistan	2
Q664	New Zealand	8
Q954	Zimbabwe	3
Q889	Afghanistan	3
Q929	Central African Republic	5
Q792	El Salvador	9
Q754	Trinidad and Tobago	9
Q232	Kazakhstan	2
Q236	Montenegro	2
Q79	Egypt	3
Q1006	Guinea	5
Q15180	Soviet Union	2
Q1042	Seychelles	4
Q796	Iraq	3
Q221	Republic of Macedonia	2
Q884	South Korea	1
Q1039	Sao Tomé and Príncipe	5
Q917	Bhutan	4
Q878	United Arab Emirates	3
Q241	Cuba	9
Q1049	Sudan	5
Q810	Jordan	3
Q657	Chad	5
Q963	Botswana	5
Q1019	Madagascar	5
Q32	Luxembourg	6
Q4628	Faroe Islands	7
Q912	Mali	5
Q265	Uzbekistan	2
Q115	Ethiopia	5
Q1011	Cape Verde	5
Q1246	Kosovo	2
Q672	Tuvalu	4
Q1041	Senegal	5
Q1009	Cameroon	5
Q786	Dominican Republic	9
Q1045	Somalia	5
Q242	Belize	9
Q819	Laos	4
Q813	Kyrgyzstan	2
Q1036	Uganda	5
Q16957	East Germany	7
Q902	Bangladesh	4
Q1037	Rwanda	5
Q1016	Libya	3
Q423	North Korea	1
Q1000	Gabon	5
Q811	Nicaragua	9
Q967	Burundi	5
Q962	Benin	5
Q702	Federated States of Micronesia	4
Q804	Panama	9
Q974	Democratic Republic of the Congo	5
Q766	Jamaica	9
Q800	Costa Rica	9
Q678	Tonga	4
Q790	Haiti	9
Q916	Angola	5
Q424	Cambodia	4
Q1030	Namibia	5
Q229	Cyprus	6
