,nan,transgender female,intersex,fa'afafine,transgender,American football player,Gender fluid,sociologist,transgender male,female creature,male creature,woman,genderqueer,female,male,kathoey
Q1003337|,,,,,,,,,,,,,,,1.0,
Q1004|,,,,,,,,,,,,,,,4.0,
Q1006696|Q40348|Q16533|,,,,,,,,,,,,,,,2.0,
Q1008663|Q36834|,,,,,,,,,,,,,,,1.0,
Q101333|Q33999|,,,,,,,,,,,,,,,1.0,
Q101539|,,,,,,,,,,,,,,11.0,3.0,
Q101539|Q186360|,,,,,,,,,,,,,,2.0,,
Q101539|Q9352089|,,,,,,,,,,,,,,1.0,,
Q1017553|,,,,,,,,,,,,,,,2.0,
Q101849|,,,,,,,,,,,,,,,1.0,
Q1019|,,,,,,,,,,,,,,,1.0,
Q1020606|,,,,,,,,,,,,,,,2.0,
Q1020606|Q1028181|,,,,,,,,,,,,,,,3.0,
Q102066|,,,,,,,,,,,,,,,1.0,
Q102083|,,,,,,,,,,,,,,,5.0,
Q102083|Q1511216|,,,,,,,,,,,,,,,1.0,
Q102083|Q2747456|,,,,,,,,,,,,,,,1.0,
Q102083|Q3519259|,,,,,,,,,,,,,,,1.0,
Q102083|Q47064|,,,,,,,,,,,,,,,1.0,
Q1021386|,,,,,,,,,,,,,,,7.0,
Q1021386|Q1423891|,,,,,,,,,,,,,,,1.0,
Q1021386|Q16323111|,,,,,,,,,,,,,,,1.0,
Q1021386|Q3578589|,,,,,,,,,,,,,,,1.0,
Q1021702|Q550594|,,,,,,,,,,,,,,,1.0,
Q1028181|,1954.0,1.0,,,,,,,,,,,,6761.0,45910.0,
Q1028181|Q103163|,,,,,,,,,,,,,,1.0,,
Q1028181|Q10486|,,,,,,,,,,,,,,1.0,2.0,
Q1028181|Q105186|,,,,,,,,,,,,,,1.0,2.0,
Q1028181|Q10694573|,,,,,,,,,,,,,,2.0,1.0,
Q1028181|Q10732476|,1.0,,,,,,,,,,,,,3.0,4.0,
Q1028181|Q10732476|Q18814623|,,,,,,,,,,,,,,1.0,,
Q1028181|Q10774753|,,,,,,,,,,,,,,1.0,,
Q1028181|Q10843402|,,,,,,,,,,,,,,,1.0,
Q1028181|Q10862983|,,,,,,,,,,,,,,17.0,142.0,
Q1028181|Q10862983|Q15296811|,,,,,,,,,,,,,,,1.0,
Q1028181|Q10862983|Q15296811|Q329439|,,,,,,,,,,,,,,,1.0,
Q1028181|Q10862983|Q15966904|,,,,,,,,,,,,,,4.0,,
Q1028181|Q10862983|Q37226|,,,,,,,,,,,,,,,1.0,
Q1028181|Q10862983|Q644687|,,,,,,,,,,,,,,,2.0,
Q1028181|Q10862983|Q644687|Q18814623|,,,,,,,,,,,,,,,1.0,
Q1028181|Q10862983|Q644687|Q33231|,,,,,,,,,,,,,,,1.0,
Q1028181|Q1086863|Q644687|Q15296811|,,,,,,,,,,,,,,,1.0,
Q1028181|Q10873124|,,,,,,,,,,,,,,,1.0,
