,nan,transgender female,intersex,fa'afafine,transgender male,female animal,male animal,woman,genderqueer,female,male,kathoey
,257371.0,40.0,10.0,,12.0,1.0,3.0,,7.0,182340.0,1060600.0,
Q1000,,,,,,,,,,22.0,185.0,
Q1003703,,,,,,,,,,1.0,,
Q1003997,,,,,,,,,,1.0,1.0,
Q1005,,,,,,,,,,9.0,95.0,
Q1005289,,,,,,,,,,1.0,1.0,
Q1006,,,,,,,,,,1.0,91.0,
Q1007,,,,,,,,,,3.0,42.0,
Q1008,1.0,,,,,,,,,131.0,731.0,
Q1009,,,,,,,,,,33.0,386.0,
Q1011,,,,,,,,,,6.0,70.0,
Q1013,,,,,,,,,,2.0,21.0,
Q1014,,,,,,,,,,6.0,69.0,
Q1016,,,,,,,,,,8.0,124.0,
Q1019,,,,,,,,,,12.0,52.0,
Q1020,,,,,,,,,,3.0,46.0,
Q1025,,,,,,,,,,1.0,65.0,
Q1027,,,,,,,,,,10.0,34.0,
Q1028,3.0,,,,,,,,,56.0,587.0,
Q1029,,,,,,,,,,11.0,52.0,
Q1030,,,,,,,,,,6.0,56.0,
Q103122,,,,,,,,,,,1.0,
Q1032,,,,,,,,,,,78.0,
Q1033,1.0,,,,,,,,,162.0,1068.0,
Q1036,,,,,,,,,,12.0,89.0,
Q1037,,,,,,,,,,7.0,51.0,
Q1039,,,,,,,,,,3.0,9.0,
Q1041,1.0,,,,,,,,,37.0,424.0,
Q10416611,,,,,,,,,,,1.0,
Q1042,,,,,,,,,,2.0,43.0,
Q104285,,,,,,,,,,,1.0,
Q1044,,,,,,,,,,4.0,50.0,
Q1045,,,,,,,,,,74.0,434.0,
Q1047264,,,,,,,,,,,2.0,
Q1049,,,,,,,,,,4.0,82.0,
Q1050,,,,,,,,,,5.0,18.0,
Q1054409,,,,,,,,,,,1.0,
Q1055,,,,,,,,,,,1.0,
Q106782,,,,,,,,,,,1.0,
Q1069905,,,,,,,,,,1.0,1.0,
Q10957559,,,,,,,,,,,10.0,
Q1098499,,,,,,,,,,1.0,3.0,
Q1108445,,,,,,,,,,,1.0,
Q11169,,,,,,,,,,,3.0,
Q11225429,,,,,,,,,,,16.0,
Q11266977,,,,,,,,,,,1.0,
Q1134180,,,,,,,,,,,1.0,
Q114,,,,,,,,,,77.0,295.0,
Q1143126,,,,,,,,,,,1.0,
Q1147043,,,,,,,,,,,1.0,
Q115,1.0,,,,,,,,,42.0,167.0,
Q1154406,3.0,,,,,,,,,28.0,34.0,
Q1156248,,,,,,,,,,,2.0,
Q117,,,,,,,,,,23.0,418.0,
Q11703,,,,,,,,,,1.0,3.0,
Q11768,,,,,,,,,,51.0,226.0,
Q11772,,,,,,,,,,41.0,928.0,
Q1179,,,,,,,,,,,1.0,
Q1183,,1.0,,,,,,,,57.0,215.0,
Q1188046,,,,,,,,,,,2.0,
Q11917,,,,,,,,,,,1.0,
Q1206012,,,,,,,,,,,3.0,
Q1209822,,,,,,,,,,,2.0,
Q121842,,,,,,,,,,,1.0,
Q121932,,,,,,,,,,,1.0,
Q12223,,,,,,,,,,,2.0,
Q122443,,,,,,,,,,,2.0,
Q12297902,,,,,,,,,,,4.0,
Q1231,,,,,,,,,,12.0,39.0,
Q1231403,,,,,,,,,,,3.0,
Q1232887,,,,,,,,,,,1.0,
Q123559,,,,,,,,,,,2.0,
