,nan,transgender female,intersex,transgender male,female,male
-3125.0,,,,,,1.0
-3050.0,,,,,,1.0
-2995.0,,,,,,1.0
-2985.0,,,,,,1.0
-2960.0,,,,,,1.0
-2925.0,,,,,,1.0
-2890.0,,,,,,1.0
-2845.0,,,,,,1.0
-2715.0,,,,,,1.0
-2680.0,,,,,,1.0
-2660.0,,,,,,1.0
-2650.0,,,,,,1.0
-2630.0,,,,,,1.0
-2620.0,,,,,,1.0
-2609.0,,,,,,1.0
-2605.0,,,,,,1.0
-2597.0,,,,,,1.0
-2596.0,,,,,,1.0
-2588.0,,,,,,1.0
-2580.0,,,,,,1.0
-2570.0,,,,,,1.0
-2525.0,,,,,,1.0
-2500.0,,,,,,1.0
-2490.0,,,,,,1.0
-2480.0,,,,,,1.0
-2473.0,,,,,,1.0
-2460.0,,,,,,1.0
-2444.0,,,,,1.0,
-2430.0,,,,,,1.0
-2425.0,,,,,,1.0
-2420.0,,,,,,1.0
-2380.0,,,,,,1.0
-2371.0,,,,,,1.0
-2350.0,,,,,,2.0
-2330.0,,,,,,1.0
-2280.0,,,,,,1.0
-2273.0,,,,,,1.0
-2255.0,,,,,,1.0
-2206.0,,,,,,1.0
-2200.0,,,,,,1.0
-2192.0,,,,,1.0,
-2121.0,,,,,,1.0
-2094.0,,,,,,1.0
-2073.0,,,,,,1.0
-2065.0,,,,,,1.0
-2046.0,,,,,,1.0
-2040.0,,,,,,1.0
-2013.0,,,,,,1.0
-2005.0,,,,,,1.0
-1991.0,,,,,,1.0
-1990.0,,,,,,3.0
-1962.0,,,,,,1.0
-1919.0,,,,,,1.0
-1885.0,,,,,,1.0
-1879.0,,,,,,1.0
-1859.0,,,,,,1.0
-1846.0,,,,,,1.0
-1845.0,,,,,,1.0
-1831.0,,,,,,1.0
-1814.0,,,,,,1.0
-1813.0,,,,,,1.0
-1790.0,,,,,,1.0
-1785.0,,,,,1.0,
-1750.0,,,,,,1.0
-1734.0,,,,,,1.0
-1730.0,,,,,,2.0
-1720.0,,,,,,2.0
-1701.0,,,,,,1.0
-1691.0,,,,,,1.0
-1675.0,,,,,,1.0
-1628.0,,,,,,1.0
-1603.0,,,,,,1.0
-1562.0,,,,,,1.0
-1549.0,,,,,,3.0
-1534.0,,,,,,1.0
-1530.0,,,,,1.0,1.0
-1525.0,,,,,,1.0
-1507.0,,,,,,1.0
-1504.0,,,,,1.0,
-1492.0,,,,,1.0,
