,nan,transgender female,intersex,fa'afafine,transgender male,female animal,male animal,woman,genderqueer,female,male,kathoey
,271436.0,105.0,18.0,1.0,27.0,1.0,8.0,1.0,12.0,358249.0,1924439.0,1.0
Q1003039,,,,,,,,,,1.0,,
Q10090,,,,,,,,,,,2.0,
Q101828,,,,,,,,,,,1.0,
Q102090,,,,,,,,,,1.0,,
Q102251,,,,,,,,,,2.0,6.0,
Q1024825,,,,,,,,,,,1.0,
Q1026,,,,,,,,,,7.0,18.0,
Q1033,,,,,,,,,,1.0,,
Q1036,,,,,,,,,,,2.0,
Q1041917,,,,,,,,,,2.0,,
Q1044876,,,,,,,,,,1.0,,
Q1053996,,,,,,,,,,1.0,,
Q105405,,,,,,,,,,3.0,5.0,
Q1060050,,,,,,,,,,1.0,,
Q1060646,,,,,,,,,,,1.0,
Q1060991,,,,,,,,,,1.0,,
Q1061,,,,,,,,,,1.0,,
Q1061510,,,,,,,,,,2.0,4.0,
Q106416,,,,,,,,,,1.0,5.0,
Q1064662,,1.0,,,,,,,,1.0,5.0,
Q1065371,,,,,,,,,,2.0,1.0,
Q106713,,,,,,,,,,2.0,2.0,
Q106974,,,,,,,,,,,3.0,
Q1071516,,,,,,,,,,,1.0,
Q1072155,,,,,,,,,,1.0,,
Q107434,,,,,,,,,,1.0,,
Q1075293,,,,,,,,,,7.0,8.0,
Q1092654,,,,,,,,,,,1.0,
Q11190,,,,,,,,,,,1.0,
Q11205140,,,,,,,,,,,1.0,
Q1123923,,,,,,,,,,,1.0,
Q1130350,,,,,,,,,,,1.0,
Q1136195,,,,,,,,,,1.0,,
Q114,,,,,,,,,,,1.0,
Q1140588,,,,,,,,,,2.0,2.0,
Q1143929,,,,,,,,,,1.0,,
Q1144501,,,,,,,,,,1.0,,
Q1146100,,,,,,,,,,5.0,8.0,
Q115026,,,,,,,,,,1.0,,
Q1150312,,,,,,,,,,1.0,2.0,
Q11506,,,,,,,,,,,1.0,
Q115473,,,,,,,,,,,2.0,
Q1156766,,,,,,,,,,4.0,7.0,
Q116971,,,,,,,,,,1.0,,
Q117,,,,,,,,,,1.0,1.0,
Q1171,,,,,,,,,,,1.0,
Q117133,,,,,,,,,,1.0,,
Q117244,,,,,,,,,,,1.0,
Q11768,,,,,,,,,,3.0,,
Q118281,,,,,,,,,,,1.0,
Q1183,,,,,,,,,,2.0,,
Q1186,,,,,,,,,,,2.0,
Q1187403,,,,,,,,,,,1.0,
Q1189552,,,,,,,,,,1.0,2.0,
Q1192750,,,,,,,,,,,1.0,
Q1193808,,,,,,,,,,1.0,3.0,
Q1195125,,,,,,,,,,6.0,,
Q1196649,,,,,,,,,,,5.0,
Q12014472,,,,,,,,,,,1.0,
Q120601,,,,,,,,,,1.0,,
Q12060728,,,,,,,,,,1.0,4.0,
Q1207351,,,,,,,,,,1.0,,
Q1208167,,,,,,,,,,,1.0,
Q1209676,,,,,,,,,,5.0,2.0,
Q1211934,,,,,,,,,,9.0,5.0,
Q1217927,,,,,,,,,,1.0,,
Q121842,,,,,,,,,,18.0,10.0,
Q1219693,,,,,,,,,,1.0,,
Q12223,,,,,,,,,,1.0,12.0,
Q1242155,,,,,,,,,,,2.0,
Q124216,,,,,,,,,,2.0,1.0,
Q1249914,,,,,,,,,,1.0,,
Q1250849,,,,,,,,,,2.0,1.0,
Q1255534,,,,,,,,,,,1.0,
Q1258074,,,,,,,,,,,1.0,
Q12585,,,,,,,,,,,1.0,
Q1259835,,,,,,,,,,,1.0,
Q1261144,,,,,,,,,,,1.0,
Q1262400,,,,,,,,,,,3.0,
Q12644212,,,,,,,,,,2.0,,
Q1265028,,,,,,,,,,3.0,,
Q126756,,,,,,,,,,,7.0,
Q1267758,,,,,,,,,,,1.0,
Q1267849,,,,,,,,,,,2.0,
Q1267987,,,,,,,,,,3.0,4.0,
Q127041,,,,,,,,,,1.0,,
Q1273334,,,,,,,,,,,2.0,
Q127885,,1.0,,,,,,,,123.0,1135.0,
Q1280677,,,,,,,,,,,1.0,
Q1281344,,,,,,,,,,1.0,2.0,
Q1282294,,,,,,,,,,,7.0,
Q1282763,,,,,,,,,,1.0,,
Q1283606,,,,,,,,,,,1.0,
Q1286876,,,,,,,,,,1.0,,
Q1287427,,,,,,,,,,1.0,,
Q1287940,,,,,,,,,,2.0,7.0,
