,nan,transgender female,intersex,fa'afafine,transgender male,female animal,male animal,woman,genderqueer,female,male,kathoey
,271566.0,,,,,,,,,,,
Q1052281,,109.0,,,,,,,2.0,21.0,10.0,
Q1097630,,,18.0,,,,,,1.0,1.0,,
Q1399232,,,,1.0,,,,,,,1.0,
Q2449503,,,,,27.0,,,,1.0,10.0,8.0,
Q43445,,,,,,1.0,,,,,,
Q44148,,,,,,,8.0,,,,,
Q467,,,,,,,,1.0,,,,
Q48270,,2.0,1.0,,1.0,,,,12.0,2.0,2.0,
Q6581072,,21.0,1.0,,10.0,,,,2.0,359942.0,25.0,
Q6581097,,10.0,,1.0,8.0,,,,2.0,25.0,1930390.0,1.0
Q746411,,,,,,,,,,,1.0,1.0
