,nan,transgender female,intersex,fa'afafine,transgender male,male animal,woman,genderqueer,female,male,kathoey
-4203.0,,,,,,,,,,1.0,
-3102.0,,,,,,,,,,1.0,
-3075.0,,,,,,,,,,1.0,
-3059.0,,,,,,,,,,1.0,
-3004.0,,,,,,,,,1.0,,
-2697.0,,,,,,,,,,1.0,
-2474.0,,,,,,,,,1.0,,
-2352.0,,,,,,,,,,1.0,
-2324.0,,,,,,,,,,1.0,
-1991.0,,,,,,,,,,1.0,
-1860.0,,,,,,,,,,1.0,
-1728.0,,,,,,,,,,1.0,
-1648.0,,,,,,,,,,1.0,
-1639.0,,,,,,,,,,1.0,
-1560.0,,,,,,,,,,1.0,
-1525.0,,,,,,,,,1.0,,
-1510.0,,,,,,,,,,1.0,
-1504.0,,,,,,,,,1.0,,
-1495.0,,,,,,,,,1.0,,
-1481.0,,,,,,,,,,1.0,
-1440.0,,,,,,,,,,1.0,
-1398.0,,,,,,,,,1.0,,
-1358.0,,,,,,,,,,1.0,
-1354.0,,,,,,,,,,1.0,
-1340.0,,,,,,,,,,1.0,
-1302.0,,,,,,,,,,1.0,
-1290.0,,,,,,,,,1.0,,
-1217.0,,,,,,,,,,1.0,
-1152.0,,,,,,,,,,1.0,
-1105.0,,,,,,,,,,1.0,
-1079.0,,,,,,,,,,1.0,
-1040.0,,,,,,,,,,1.0,
-1011.0,,,,,,,,,,1.0,
-1000.0,,,,,,,,,,1.0,
-972.0,,,,,,,,,,1.0,
-915.0,,,,,,,,,,1.0,
-896.0,,,,,,,,,,1.0,
-870.0,,,,,,,,,,1.0,
-864.0,,,,,,,,,,1.0,
-805.0,,,,,,,,,,1.0,
-802.0,,,,,,,,,,2.0,
-795.0,,,,,,,,,,1.0,
-771.0,,,,,,,,,,1.0,
-763.0,,,,,,,,,,1.0,
-753.0,,,,,,,,,,1.0,
-750.0,,,,,,,,,,1.0,
-725.0,,,,,,,,,,1.0,
-720.0,,,,,,,,,,1.0,
-712.0,,,,,,,,,,1.0,
-711.0,,,,,,,,,,1.0,
-710.0,,,,,,,,,,1.0,
-708.0,,,,,,,,,,1.0,
-705.0,,,,,,,,,,1.0,
-697.0,,,,,,,,,,1.0,
-690.0,,,,,,,,,,1.0,
-689.0,,,,,,,,,,1.0,
-685.0,,,,,,,,,,1.0,
-680.0,,,,,,,,,,1.0,
-675.0,,,,,,,,,,2.0,
-670.0,,,,,,,,,,1.0,
-669.0,,,,,,,,,,1.0,
-665.0,,,,,,,,,,1.0,
-658.0,,,,,,,,,,1.0,
-650.0,,,,,,,,,1.0,1.0,
-648.0,,,,,,,,,,1.0,
-640.0,,,,,,,,,,1.0,
-638.0,,,,,,,,,,1.0,
-634.0,,,,,,,,,,1.0,
-633.0,,,,,,,,,,1.0,
-630.0,,,,,,,,,,3.0,
-628.0,,,,,,,,,,1.0,
-627.0,,,,,,,,,,1.0,
-623.0,,,,,,,,,,1.0,
-620.0,,,,,,,,,,1.0,
-619.0,,,,,,,,,,1.0,
-617.0,,,,,,,,,,1.0,
-610.0,,,,,,,,,,2.0,
-604.0,,,,,,,,,,1.0,
-600.0,,,,,,,,,1.0,6.0,
-599.0,,,,,,,,,,1.0,
-596.0,,,,,,,,,,1.0,
-590.0,,,,,,,,,,1.0,
-586.0,,,,,,,,,,2.0,
-581.0,,,,,,,,,,1.0,
-574.0,,,,,,,,,,1.0,
-570.0,,,,,,,,,,2.0,
-569.0,,,,,,,,,,1.0,
-566.0,,,,,,,,,,2.0,
-565.0,,,,,,,,,,1.0,
-560.0,,,,,,,,,,2.0,
-559.0,,,,,,,,,1.0,,
-558.0,,,,,,,,,,1.0,
-552.0,,,,,,,,,,1.0,
-550.0,,,,,,,,,1.0,5.0,
-549.0,,,,,,,,,,1.0,
-545.0,,,,,,,,,,1.0,
-543.0,,,,,,,,,,2.0,
-540.0,,,,,,,,,,2.0,
-534.0,,,,,,,,,,2.0,
-525.0,,,,,,,,,,1.0,
-524.0,,,,,,,,,,2.0,
-520.0,,,,,,,,,,1.0,
-519.0,,,,,,,,,,2.0,
-518.0,,,,,,,,,,1.0,
-517.0,,,,,,,,,,1.0,
-516.0,,,,,,,,,,1.0,
-510.0,,,,,,,,,,1.0,
-509.0,,,,,,,,,,1.0,
-507.0,,,,,,,,,,1.0,
-506.0,,,,,,,,,2.0,,
-505.0,,,,,,,,,,1.0,
-500.0,,,,,,,,,,2.0,
-498.0,,,,,,,,,,1.0,
-497.0,,,,,,,,,,1.0,
-496.0,,,,,,,,,,1.0,
-490.0,,,,,,,,,,4.0,
-488.0,,,,,,,,,,1.0,
-486.0,,,,,,,,,,1.0,
-484.0,,,,,,,,,,2.0,
-483.0,,,,,,,,,,1.0,
-481.0,,,,,,,,,,1.0,
-479.0,,,,,,,,,,2.0,
-475.0,,,,,,,,,,5.0,
-471.0,,,,,,,,,,1.0,
-470.0,,,,,,,,,1.0,6.0,
-469.0,,,,,,,,,,2.0,
-465.0,,,,,,,,,,2.0,
-460.0,,,,,,,,,,3.0,
-459.0,,,,,,,,,,1.0,
-457.0,,,,,,,,,,1.0,
-450.0,,,,,,,,,,2.0,
-448.0,,,,,,,,,,1.0,
-446.0,,,,,,,,,,3.0,
-445.0,,,,,,,,,,2.0,
-444.0,,,,,,,,,,2.0,
-443.0,,,,,,,,,,1.0,
-442.0,,,,,,,,,1.0,,
-437.0,,,,,,,,,,1.0,
-436.0,,,,,,,,,,2.0,
-434.0,,,,,,,,,,1.0,
-432.0,,,,,,,,,,1.0,
-431.0,,,,,,,,,,1.0,
-430.0,,,,,,,,,,2.0,
-428.0,,,,,,,,,,2.0,
-427.0,,,,,,,,,,1.0,
-426.0,,,,,,,,,,1.0,
-425.0,,,,,,,,,,1.0,
-424.0,,,,,,,,,,1.0,
-416.0,,,,,,,,,,1.0,
-415.0,,,,,,,,,,1.0,
-411.0,,,,,,,,,,1.0,
-410.0,,,,,,,,,,2.0,
-409.0,,,,,,,,,,1.0,
-408.0,,,,,,,,,,2.0,
-407.0,,,,,,,,,1.0,,
-404.0,,,,,,,,,,1.0,
-402.0,,,,,,,,,,1.0,
-400.0,,,,,,,,,,7.0,
-397.0,,,,,,,,,,3.0,
-396.0,,,,,,,,,,1.0,
-395.0,,,,,,,,,,1.0,
-394.0,,,,,,,,,,2.0,
-390.0,,,,,,,,,,3.0,
-389.0,,,,,,,,,,1.0,
-388.0,,,,,,,,,,2.0,
-385.0,,,,,,,,,,2.0,
-384.0,,,,,,,,,,1.0,
-383.0,,,,,,,,,,1.0,
-382.0,,,,,,,,,,2.0,
-381.0,,,,,,,,,,2.0,
-380.0,,,,,,,,,1.0,4.0,
-375.0,,,,,,,,,1.0,2.0,
-373.0,,,,,,,,,,1.0,
-372.0,,,,,,,,,,2.0,
-371.0,,,,,,,,,,2.0,
-370.0,,,,,,,,,,6.0,
-368.0,,,,,,,,,,1.0,
-367.0,,,,,,,,,,2.0,
-365.0,,,,,,,,,,2.0,
-363.0,,,,,,,,,1.0,,
-362.0,,,,,,,,,1.0,2.0,
-361.0,,,,,,,,,,2.0,
-360.0,,,,,,,,,,2.0,
-359.0,,,,,,,,,,2.0,
-358.0,,,,,,,,,,1.0,
-356.0,,,,,,,,,,4.0,
-355.0,,,,,,,,,,1.0,
-354.0,,,,,,,,,,1.0,
-351.0,,,,,,,,,,1.0,
-350.0,,,,,,,,,,3.0,
-347.0,,,,,,,,,1.0,,
-343.0,,,,,,,,,,2.0,
-342.0,,,,,,,,,1.0,1.0,
-341.0,,,,,,,,,,2.0,
-340.0,,,,,,,,,2.0,8.0,
-337.0,,,,,,,,,,1.0,
-336.0,,,,,,,,,,1.0,
-335.0,,,,,,,,,,2.0,
-333.0,,,,,,,,,,1.0,
-331.0,,,,,,,,,,2.0,
-330.0,,,,,,,,,,3.0,
-327.0,,,,,,,,,,1.0,
-325.0,,,,,,,,,,6.0,
-324.0,,,,,,,,,,1.0,
-323.0,,,,,,,,,,3.0,
-320.0,,,,,,,,,,6.0,
-319.0,,,,,,,,,,1.0,
-318.0,,,,,,,,,,2.0,
-317.0,,,,,,,,,1.0,,
