,nan,transgender female,intersex,fa'afafine,transgender male,female animal,male animal,woman,genderqueer,female,male,kathoey
,4172.0,,,,,,,,,4027.0,16255,
abwiki,,,,,,,,,,12.0,104,
acewiki,4.0,,,,,,,,,52.0,200,
afwiki,186.0,,,,,,,,,570.0,4223,
afwikiquote,1.0,,,,,,,,,5.0,103,
akwiki,,,,,,,,,,3.0,21,
alswiki,13.0,,,,,,,,,241.0,1973,
amwiki,2.0,,,,,,,,,85.0,773,
angwiki,,,,,,,,,,59.0,224,
angwikiquote,,,,,,,,,,,3,
anwiki,16.0,,,,,,,,,656.0,3555,
arcwiki,1.0,,,,,,,,,13.0,125,
arwiki,2537.0,3.0,,,,,,,,6069.0,37904,
arwikinews,,,,,,,,,,1.0,10,
arwikiquote,,,,,,,,,,13.0,164,
arwikisource,,,,,,,,,,2.0,24,
arzwiki,167.0,1.0,,,1.0,,,,,1223.0,2566,
astwiki,15.0,,,,,,,,,319.0,1862,
aswiki,2.0,,,,,,,,,74.0,388,
avwiki,1.0,,,,,,,,,,45,
aywiki,1.0,,,,,,,,,21.0,258,
azwiki,5512.0,1.0,,,,,,,,1509.0,8475,
azwikiquote,12.0,,,,,,,,,33.0,550,
azwikisource,,,,,,,,,,,13,
barwiki,2.0,,,,,,,,,155.0,1058,
bat_smgwiki,60.0,,,,,,,,,145.0,751,
bawiki,,,,,,,,,,76.0,625,
bclwiki,2.0,,,,,,,,,95.0,494,
be_x_oldwiki,228.0,1.0,,,,,,,,930.0,7808,
bewiki,617.0,1.0,,,,,,,,1808.0,14848,
bewikiquote,,,,,,,,,,,35,
bewikisource,,,,,,,,,,1.0,30,
bgwiki,5249.0,3.0,,,,,,,,5498.0,30132,
bgwikiquote,58.0,,,,,,,,,386.0,1951,
bgwikisource,1.0,,,,,,,,,2.0,27,
bhwiki,,,,,,,,,,8.0,61,
biwiki,1.0,,,,,,,,,11.0,49,
bjnwiki,15.0,1.0,,,,,,,,20.0,39,
bmwiki,,,,,,,,,,6.0,31,
bnwiki,59.0,1.0,,,,,,,,1024.0,5776,
bnwikisource,,,,,,,,,,,11,
bowiki,3.0,,,,,,,,,51.0,375,
bpywiki,,,,,,,,,,11.0,80,
brwiki,130.0,1.0,,,,,,,,2165.0,6437,
brwikiquote,,,,,,,,,,2.0,54,
brwikisource,,,,,,,,,,4.0,48,
bswiki,500.0,,,,,,,,,738.0,4606,
bswikiquote,61.0,,,,,,,,,217.0,1306,
bswikisource,1.0,,,,,,,,,,13,
bugwiki,2.0,,,,,,,,,3.0,4,
bxrwiki,,,,,,,,,,9.0,138,
cawiki,1267.0,6.0,,,2.0,,,,,8795.0,65676,
cawikinews,,,,,,,,,,,5,
cawikiquote,6.0,,,,,,,,,88.0,696,
cawikisource,47.0,,,,,,,,,14.0,397,
cbk_zamwiki,1.0,,,,,,,,,66.0,174,
cdowiki,2.0,,,,,,,,,9.0,97,
cebwiki,9.0,,,,,,,,,103.0,565,
cewiki,1.0,,,,,,,,,39.0,386,
chrwiki,,,,,,,,,,9.0,16,
chwiki,,,,,,,,,,1.0,16,
chywiki,1.0,,,,,,,,,14.0,35,
ckbwiki,26.0,1.0,,,,,,,,267.0,2158,
commonswiki,1203.0,8.0,,,1.0,,,,1.0,9698.0,41744,
cowiki,2.0,,,,,,,,,94.0,529,
crhwiki,4.0,,,,,,,,,17.0,105,
crwiki,,,,,,,,,,2.0,4,
csbwiki,1.0,,,,,,,,,97.0,166,
cswiki,34.0,6.0,,,2.0,,,,,11469.0,62623,
cswikinews,,,,,,,,,,,4,
cswikiquote,134.0,,,,,,,,,583.0,4564,
cswikisource,1.0,,,,,,,,,53.0,1210,
cuwiki,1.0,,,,,,,,,1.0,56,
cvwiki,7.0,,,,,,,,,195.0,1016,
cywiki,216.0,3.0,,,1.0,,,,,1258.0,5957,
cywikiquote,,,,,,,,,,15.0,62,
dawiki,123.0,4.0,,,,,,,,8490.0,46883,
dawikiquote,1.0,,,,,,,,,41.0,183,
dawikisource,,,,,,,,,,7.0,86,
dewiki,83.0,24.0,,1.0,10.0,,,,3.0,81249.0,462244,1.0
dewikinews,,,,,,,,,,2.0,17,
dewikiquote,2.0,,,,,,,,,376.0,1606,
dewikisource,3.0,,,,,,,,,261.0,4297,
dewikivoyage,,,,,,,,,,,5,
diqwiki,51.0,,,,,,,,,128.0,685,
dsbwiki,4.0,,,,,,,,,59.0,232,
dvwiki,,,,,,,,,,32.0,207,
dzwiki,,,,,,,,,,3.0,8,
eewiki,,,,,,,,,,1.0,21,
elwiki,1176.0,1.0,,,1.0,,,1.0,,2759.0,21809,
elwikinews,,,,,,,,,,,2,
elwikiquote,1.0,,,,,,,,,44.0,372,
elwikisource,13.0,,,,,,,,,11.0,317,
emlwiki,,,1.0,,,,,,,247.0,328,
enwiki,2965.0,105.0,17.0,1.0,26.0,,,,12.0,186361.0,1015978,1.0
enwikinews,3.0,,,,,,,,,3.0,24,
enwikiquote,13.0,2.0,,,,,,,,1500.0,8699,
enwikisource,123.0,,,,,,,,,1199.0,13005,
enwikivoyage,,,,,,,,,,,4,
eowiki,2214.0,8.0,1.0,,2.0,,,,,3950.0,24641,1.0
